settlement_period,ssp,sbp,price_used,asset,action,power_mw,soc,energy_mwh
1,90.0,90.0,90.0,Battery_1,charge,3.0,16.8,3.35
2,99.88,99.88,99.88,Battery_1,charge,0.7,18.3,3.67
3,125.25,125.25,125.25,Battery_1,discharge,3.0,10.0,2.0
4,98.53,98.53,0.0,Battery_1,hold,0.0,10.0,2.0
5,91.35,91.35,0.0,Battery_1,hold,0.0,10.0,2.0
6,90.0,90.0,0.0,Battery_1,hold,0.0,10.0,2.0
7,90.66,90.66,0.0,Battery_1,hold,0.0,10.0,2.0
8,90.0,90.0,0.0,Battery_1,hold,0.0,10.0,2.0
9,96.0,96.0,0.0,Battery_1,hold,0.0,10.0,2.0
10,96.0,96.0,0.0,Battery_1,hold,0.0,10.0,2.0
11,86.0,86.0,86.0,Battery_1,charge,3.0,16.8,3.35
12,82.7,82.7,82.7,Battery_1,charge,3.0,23.5,4.7
13,107.64,107.64,107.64,Battery_1,discharge,1.86,18.3,3.67
14,108.9,108.9,108.9,Battery_1,discharge,3.0,10.0,2.0
15,93.17,93.17,0.0,Battery_1,hold,0.0,10.0,2.0
16,93.86,93.86,0.0,Battery_1,hold,0.0,10.0,2.0
17,84.95,84.95,0.0,Battery_1,hold,0.0,10.0,2.0
18,65.16,65.16,0.0,Battery_1,hold,0.0,10.0,2.0
19,60.4,60.4,0.0,Battery_1,hold,0.0,10.0,2.0
20,45.75,45.75,0.0,Battery_1,hold,0.0,10.0,2.0
21,3.09,3.09,3.09,Battery_1,charge,2.56,15.8,3.15
22,-10.0,-10.0,-10.0,Battery_1,charge,3.0,22.5,4.5
23,-16.31,-16.31,-16.31,Battery_1,charge,3.0,29.2,5.85
24,-13.0,-13.0,-13.0,Battery_1,charge,3.0,36.0,7.2
25,-11.99,-11.99,-11.99,Battery_1,charge,3.0,42.8,8.55
26,-11.99,-11.99,-11.99,Battery_1,charge,3.0,49.5,9.9
27,-11.14,-11.14,-11.14,Battery_1,charge,3.0,56.2,11.25
28,-13.96,-13.96,-13.96,Battery_1,charge,3.0,63.0,12.6
29,-13.33,-13.33,-13.33,Battery_1,charge,3.0,69.8,13.95
30,-14.03,-14.03,-14.03,Battery_1,charge,3.0,76.5,15.3
31,-5.06,-5.06,-5.06,Battery_1,charge,3.0,83.2,16.65
32,-3.35,-3.35,-3.35,Battery_1,charge,3.0,90.0,18.0
33,12.3,12.3,0.0,Battery_1,hold,0.0,90.0,18.0
34,10.32,10.32,0.0,Battery_1,hold,0.0,90.0,18.0
35,65.0,65.0,0.0,Battery_1,hold,0.0,90.0,18.0
36,70.05,70.05,0.0,Battery_1,hold,0.0,90.0,18.0
37,100.0,100.0,0.0,Battery_1,hold,0.0,90.0,18.0
38,104.0,104.0,0.0,Battery_1,hold,0.0,90.0,18.0
39,199.5,199.5,199.5,Battery_1,discharge,3.0,81.7,16.33
40,126.84,126.84,126.84,Battery_1,discharge,3.0,73.3,14.67
41,120.01,120.01,120.01,Battery_1,discharge,3.0,65.0,13.0
42,199.5,199.5,199.5,Battery_1,discharge,3.0,56.7,11.33
43,199.5,199.5,199.5,Battery_1,discharge,3.0,48.3,9.67
44,120.82,120.82,120.82,Battery_1,discharge,3.0,40.0,8.0
45,115.3,115.3,115.3,Battery_1,discharge,3.0,31.7,6.33
46,174.26,174.26,174.26,Battery_1,discharge,3.0,23.3,4.67
47,113.55,113.55,113.55,Battery_1,discharge,1.8,18.3,3.67
48,114.27,114.27,114.27,Battery_1,discharge,3.0,10.0,2.0
1,90.0,90.0,90.0,Battery_2,charge,7.5,13.4,13.38
2,99.88,99.88,99.88,Battery_2,charge,1.76,14.2,14.17
3,125.25,125.25,125.25,Battery_2,discharge,7.5,10.0,10.0
4,98.53,98.53,0.0,Battery_2,hold,0.0,10.0,10.0
5,91.35,91.35,0.0,Battery_2,hold,0.0,10.0,10.0
6,90.0,90.0,0.0,Battery_2,hold,0.0,10.0,10.0
7,90.66,90.66,0.0,Battery_2,hold,0.0,10.0,10.0
8,90.0,90.0,0.0,Battery_2,hold,0.0,10.0,10.0
9,96.0,96.0,0.0,Battery_2,hold,0.0,10.0,10.0
10,96.0,96.0,0.0,Battery_2,hold,0.0,10.0,10.0
11,86.0,86.0,86.0,Battery_2,charge,7.5,13.4,13.38
12,82.7,82.7,82.7,Battery_2,charge,7.5,16.8,16.75
13,107.64,107.64,107.64,Battery_2,discharge,4.65,14.2,14.17
14,108.9,108.9,108.9,Battery_2,discharge,7.5,10.0,10.0
15,93.17,93.17,0.0,Battery_2,hold,0.0,10.0,10.0
16,93.86,93.86,0.0,Battery_2,hold,0.0,10.0,10.0
17,84.95,84.95,0.0,Battery_2,hold,0.0,10.0,10.0
18,65.16,65.16,0.0,Battery_2,hold,0.0,10.0,10.0
19,60.4,60.4,0.0,Battery_2,hold,0.0,10.0,10.0
20,45.75,45.75,45.75,Battery_2,charge,7.5,13.4,13.38
21,3.09,3.09,3.09,Battery_2,charge,7.5,16.8,16.75
22,-10.0,-10.0,-10.0,Battery_2,charge,7.5,20.1,20.12
23,-16.31,-16.31,-16.31,Battery_2,charge,7.5,23.5,23.5
24,-13.0,-13.0,-13.0,Battery_2,charge,7.5,26.9,26.88
25,-11.99,-11.99,-11.99,Battery_2,charge,7.5,30.2,30.25
26,-11.99,-11.99,-11.99,Battery_2,charge,7.5,33.6,33.62
27,-11.14,-11.14,-11.14,Battery_2,charge,7.5,37.0,37.0
28,-13.96,-13.96,-13.96,Battery_2,charge,7.5,40.4,40.38
29,-13.33,-13.33,-13.33,Battery_2,charge,7.5,43.8,43.75
30,-14.03,-14.03,-14.03,Battery_2,charge,7.5,47.1,47.12
31,-5.06,-5.06,-5.06,Battery_2,charge,7.5,50.5,50.5
32,-3.35,-3.35,-3.35,Battery_2,charge,7.5,53.9,53.88
33,12.3,12.3,12.3,Battery_2,charge,7.5,57.2,57.25
34,10.32,10.32,10.32,Battery_2,charge,7.5,60.6,60.62
35,65.0,65.0,0.0,Battery_2,hold,0.0,60.6,60.62
36,70.05,70.05,70.05,Battery_2,discharge,1.12,60.0,60.0
37,100.0,100.0,100.0,Battery_2,discharge,7.5,55.8,55.83
38,104.0,104.0,104.0,Battery_2,discharge,7.5,51.7,51.67
39,199.5,199.5,199.5,Battery_2,discharge,7.5,47.5,47.5
40,126.84,126.84,126.84,Battery_2,discharge,7.5,43.3,43.33
41,120.01,120.01,120.01,Battery_2,discharge,7.5,39.2,39.17
