settlement_period,ssp,sbp,price_used,asset,action,power_mw,soc,energy_mwh,ssp_settle,sbp_settle
1,121.68,121.68,0.0,Battery_1,hold,0.0,10.0,2.0,116.78,122.58000000000001
2,122.64,122.64,0.0,Battery_1,hold,0.0,10.0,2.0,117.74,123.54
3,120.23,120.23,0.0,Battery_1,hold,0.0,10.0,2.0,115.33,121.13000000000001
4,118.88,118.88,0.0,Battery_1,hold,0.0,10.0,2.0,113.97999999999999,119.78
5,100.5,100.5,100.5,Battery_1,charge,3.0,16.8,3.35,95.6,101.4
6,140.0,140.0,0.0,Battery_1,hold,0.0,16.8,3.35,135.1,140.9
7,115.12,115.12,115.12,Battery_1,charge,3.0,23.5,4.7,110.22,116.02000000000001
8,117.16,117.16,117.16,Battery_1,charge,1.41,26.7,5.33,112.25999999999999,118.06
9,121.41,121.41,0.0,Battery_1,hold,0.0,26.7,5.33,116.50999999999999,122.31
10,123.43,123.43,0.0,Battery_1,hold,0.0,26.7,5.33,118.53,124.33000000000001
11,174.96,174.96,174.96,Battery_1,discharge,3.0,18.3,3.67,170.06,175.86
12,140.76,140.76,0.0,Battery_1,hold,0.0,18.3,3.67,135.85999999999999,141.66
13,186.25,186.25,186.25,Battery_1,discharge,3.0,10.0,2.0,181.35,187.15
14,126.17,126.17,0.0,Battery_1,hold,0.0,10.0,2.0,121.27,127.07000000000001
15,80.29,80.29,0.0,Battery_1,hold,0.0,10.0,2.0,75.39,81.19000000000001
16,52.21,52.21,0.0,Battery_1,hold,0.0,10.0,2.0,47.31,53.11
17,49.58,49.58,0.0,Battery_1,hold,0.0,10.0,2.0,44.68,50.48
18,38.63,38.63,0.0,Battery_1,hold,0.0,10.0,2.0,33.730000000000004,39.53
19,26.58,26.58,26.58,Battery_1,charge,0.7,11.6,2.32,21.68,27.479999999999997
20,19.79,19.79,19.79,Battery_1,charge,3.0,18.3,3.67,14.889999999999999,20.689999999999998
21,60.95,60.95,60.95,Battery_1,discharge,3.0,10.0,2.0,56.050000000000004,61.85
22,-10.98,-10.98,-10.98,Battery_1,charge,3.0,16.8,3.35,-15.88,-10.08
23,-10.98,-10.98,-10.98,Battery_1,charge,3.0,23.5,4.7,-15.88,-10.08
24,-10.98,-10.98,-10.98,Battery_1,charge,3.0,30.2,6.05,-15.88,-10.08
25,-10.98,-10.98,-10.98,Battery_1,charge,3.0,37.0,7.4,-15.88,-10.08
26,-10.98,-10.98,-10.98,Battery_1,charge,3.0,43.8,8.75,-15.88,-10.08
27,-10.98,-10.98,-10.98,Battery_1,charge,3.0,50.5,10.1,-15.88,-10.08
28,-10.98,-10.98,-10.98,Battery_1,charge,3.0,57.2,11.45,-15.88,-10.08
29,-10.98,-10.98,-10.98,Battery_1,charge,3.0,64.0,12.8,-15.88,-10.08
30,-10.98,-10.98,-10.98,Battery_1,charge,3.0,70.8,14.15,-15.88,-10.08
31,-10.98,-10.98,-10.98,Battery_1,charge,3.0,77.5,15.5,-15.88,-10.08
32,-10.98,-10.98,-10.98,Battery_1,charge,3.0,84.2,16.85,-15.88,-10.08
