settlement_period,asset,da_mw,id_mw,bm_mw,net_mw,soc_pct,energy_mwh,revenue,cost,net_pnl,soc_breach
1,Battery_1,-6.0,-3.0,-3.0,-12.0,16.7,3.33,450.52,0.0,450.52,False
2,Battery_1,-6.0,-3.0,-3.0,-12.0,-16.7,-3.33,428.38,0.0,428.38,True
3,Battery_1,-2.4,-3.0,-3.0,-8.4,-40.0,-8.0,73.85,0.0,73.85,True
4,Battery_1,0.0,-3.0,-3.0,-6.0,-56.7,-11.33,43.72,0.0,43.72,True
5,Battery_1,0.0,-0.33,-2.4,-2.73,-64.2,-12.85,1.48,0.0,1.48,True
6,Battery_1,0.0,3.0,3.0,6.0,-50.7,-10.15,0.0,-3.58,3.58,True
7,Battery_1,6.0,3.0,3.0,12.0,-23.7,-4.75,0.0,-10.88,10.88,True
8,Battery_1,6.0,3.0,0.7,9.7,-1.9,-0.38,0.0,-19.65,19.65,True
9,Battery_1,6.0,3.0,3.0,12.0,25.1,5.02,0.0,-45.3,45.3,False
10,Battery_1,6.0,3.0,3.0,12.0,52.1,10.42,0.0,-73.35,73.35,False
11,Battery_1,6.0,3.0,3.0,12.0,79.1,15.82,0.0,-48.7,48.7,False
12,Battery_1,6.0,3.0,3.0,12.0,106.1,21.22,0.0,-47.25,47.25,True
13,Battery_1,6.0,3.0,3.0,12.0,133.1,26.62,0.0,-73.84,73.84,True
14,Battery_1,6.0,3.0,3.0,12.0,160.1,32.02,0.0,-56.4,56.4,True
15,Battery_1,6.0,3.0,3.0,12.0,187.1,37.42,0.0,-37.56,37.56,True
16,Battery_1,0.0,3.0,3.0,6.0,200.6,40.12,0.0,-19.46,19.46,True
17,Battery_1,0.0,0.0,3.0,3.0,207.3,41.46,0.0,-21.15,21.15,True
18,Battery_1,-6.0,-2.43,3.0,-5.43,192.2,38.45,37.26,-19.5,56.76,True
19,Battery_1,6.0,0.0,3.0,9.0,212.5,42.5,0.0,-17.76,17.76,True
20,Battery_1,1.41,3.0,3.0,7.41,229.2,45.83,0.0,-6.45,6.45,True
21,Battery_1,0.0,0.0,3.0,3.0,235.9,47.18,0.0,-14.5,14.5,True
22,Battery_1,0.0,0.0,-3.0,-3.0,227.6,45.52,125.76,0.0,125.76,True
23,Battery_1,0.0,0.0,3.0,3.0,234.3,46.87,0.0,55.82,-55.82,True
24,Battery_1,0.0,0.0,0.7,0.7,235.9,47.18,0.0,16.05,-16.05,True
25,Battery_1,0.0,0.0,-3.0,-3.0,227.6,45.51,165.92,0.0,165.92,True
26,Battery_1,0.0,0.0,0.0,0.0,227.6,45.51,0.0,0.0,0.0,True
27,Battery_1,0.0,0.0,0.0,0.0,227.6,45.51,0.0,0.0,0.0,True
28,Battery_1,0.0,0.0,-1.29,-1.29,224.0,44.8,42.11,0.0,42.11,True
29,Battery_1,0.0,0.0,-3.0,-3.0,215.7,43.13,101.91,0.0,101.91,True
30,Battery_1,0.0,0.0,0.0,0.0,215.7,43.13,0.0,0.0,0.0,True
31,Battery_1,0.0,-2.43,3.0,0.57,216.9,43.39,100.74,75.0,25.74,True
32,Battery_1,0.0,0.0,3.0,3.0,223.7,44.74,0.0,33.44,-33.44,True
33,Battery_1,0.0,3.0,3.0,6.0,237.2,47.44,0.0,128.77,-128.77,True
34,Battery_1,0.0,0.0,0.0,0.0,237.2,47.44,0.0,0.0,0.0,True
35,Battery_1,0.0,0.0,-3.0,-3.0,228.9,45.77,194.4,0.0,194.4,True
