stack,degradation,fee,impact,arm,days,free,blind,aware,capture
light,2.0,0.1,0.25,perfect,681,22860519,22016394,22039039,100.0
light,2.0,0.1,0.25,naive,681,16488388,15646759,15789017,71.6
light,2.0,0.1,0.25,mean_7,681,18625963,17794388,17808692,80.8
light,2.0,0.1,0.25,regression,681,19636441,18779603,18830158,85.4
light,2.0,0.1,0.25,reg_demand,681,19904993,19029368,19104677,86.7
central,4.0,0.15,0.75,perfect,681,22860519,21060646,21171775,100.0
central,4.0,0.15,0.75,naive,681,16488388,14693909,15033114,71.0
central,4.0,0.15,0.75,mean_7,681,18625963,16853609,16926128,79.9
central,4.0,0.15,0.75,regression,681,19636441,17809490,17976626,84.9
central,4.0,0.15,0.75,reg_demand,681,19904993,18037449,18255788,86.2
conservative,8.0,0.2,1.5,perfect,681,22860519,19316584,19730573,100.0
conservative,8.0,0.2,1.5,naive,681,16488388,12955040,13780342,69.8
conservative,8.0,0.2,1.5,mean_7,681,18625963,15135857,15445395,78.3
conservative,8.0,0.2,1.5,regression,681,19636441,16039175,16554582,83.9
conservative,8.0,0.2,1.5,reg_demand,681,19904993,16228051,16821997,85.3
