settlement_period,price,asset,action,power_mw,soc,reserved_capacity_pct
1,91.83,Battery_1,hold,0.0,50.0,50.0
1,91.83,Battery_2,hold,0.0,50.0,30.0
1,91.83,Battery_3,hold,0.0,50.0,30.0
1,91.83,Battery_4,hold,0.0,50.0,30.0
1,91.83,Battery_5,hold,0.0,50.0,30.0
2,88.86,Battery_1,hold,0.0,50.0,50.0
2,88.86,Battery_2,hold,0.0,50.0,30.0
2,88.86,Battery_3,hold,0.0,50.0,30.0
2,88.86,Battery_4,hold,0.0,50.0,30.0
2,88.86,Battery_5,hold,0.0,50.0,30.0
3,59.11,Battery_1,hold,0.0,50.0,50.0
3,59.11,Battery_2,hold,0.0,50.0,30.0
3,59.11,Battery_3,hold,0.0,50.0,30.0
3,59.11,Battery_4,hold,0.0,50.0,30.0
3,59.11,Battery_5,hold,0.0,50.0,30.0
4,54.33,Battery_1,hold,0.0,50.0,50.0
4,54.33,Battery_2,hold,0.0,50.0,30.0
4,54.33,Battery_3,hold,0.0,50.0,30.0
4,54.33,Battery_4,hold,0.0,50.0,30.0
4,54.33,Battery_5,hold,0.0,50.0,30.0
5,55.21,Battery_1,hold,0.0,50.0,50.0
5,55.21,Battery_2,hold,0.0,50.0,30.0
5,55.21,Battery_3,hold,0.0,50.0,30.0
5,55.21,Battery_4,hold,0.0,50.0,30.0
5,55.21,Battery_5,hold,0.0,50.0,30.0
6,61.3,Battery_1,hold,0.0,50.0,50.0
6,61.3,Battery_2,hold,0.0,50.0,30.0
6,61.3,Battery_3,hold,0.0,50.0,30.0
6,61.3,Battery_4,hold,0.0,50.0,30.0
6,61.3,Battery_5,hold,0.0,50.0,30.0
7,66.05,Battery_1,hold,0.0,50.0,50.0
7,66.05,Battery_2,hold,0.0,50.0,30.0
7,66.05,Battery_3,hold,0.0,50.0,30.0
7,66.05,Battery_4,hold,0.0,50.0,30.0
7,66.05,Battery_5,hold,0.0,50.0,30.0
8,63.72,Battery_1,hold,0.0,50.0,50.0
8,63.72,Battery_2,hold,0.0,50.0,30.0
8,63.72,Battery_3,hold,0.0,50.0,30.0
8,63.72,Battery_4,hold,0.0,50.0,30.0
8,63.72,Battery_5,hold,0.0,50.0,30.0
9,66.48,Battery_1,hold,0.0,50.0,50.0
9,66.48,Battery_2,hold,0.0,50.0,30.0
9,66.48,Battery_3,hold,0.0,50.0,30.0
9,66.48,Battery_4,hold,0.0,50.0,30.0
9,66.48,Battery_5,hold,0.0,50.0,30.0
10,62.11,Battery_1,hold,0.0,50.0,50.0
10,62.11,Battery_2,hold,0.0,50.0,30.0
10,62.11,Battery_3,hold,0.0,50.0,30.0
10,62.11,Battery_4,hold,0.0,50.0,30.0
10,62.11,Battery_5,hold,0.0,50.0,30.0
11,78.03,Battery_1,hold,0.0,50.0,50.0
11,78.03,Battery_2,hold,0.0,50.0,30.0
11,78.03,Battery_3,hold,0.0,50.0,30.0
11,78.03,Battery_4,hold,0.0,50.0,30.0
11,78.03,Battery_5,hold,0.0,50.0,30.0
12,86.56,Battery_1,hold,0.0,50.0,50.0
12,86.56,Battery_2,hold,0.0,50.0,30.0
12,86.56,Battery_3,hold,0.0,50.0,30.0
12,86.56,Battery_4,hold,0.0,50.0,30.0
12,86.56,Battery_5,hold,0.0,50.0,30.0
13,105.82,Battery_1,discharge,5.0,36.1,50.0
13,105.82,Battery_2,discharge,17.5,40.3,30.0
13,105.82,Battery_3,discharge,35.0,40.3,30.0
13,105.82,Battery_4,discharge,14.0,40.3,30.0
13,105.82,Battery_5,discharge,28.0,40.3,30.0
14,107.78,Battery_1,discharge,4.7,23.1,50.0
14,107.78,Battery_2,discharge,17.5,30.6,30.0
14,107.78,Battery_3,discharge,35.0,30.6,30.0
14,107.78,Battery_4,discharge,14.0,30.6,30.0
14,107.78,Battery_5,discharge,28.0,30.6,30.0
15,98.63,Battery_1,hold,0.0,23.1,50.0
15,98.63,Battery_2,hold,0.0,30.6,30.0
15,98.63,Battery_3,hold,0.0,30.6,30.0
15,98.63,Battery_4,hold,0.0,30.6,30.0
15,98.63,Battery_5,hold,0.0,30.6,30.0
16,100.03,Battery_1,hold,0.0,23.1,50.0
16,100.03,Battery_2,hold,0.0,30.6,30.0
16,100.03,Battery_3,hold,0.0,30.6,30.0
16,100.03,Battery_4,hold,0.0,30.6,30.0
16,100.03,Battery_5,hold,0.0,30.6,30.0
17,101.01,Battery_1,discharge,2.35,16.5,50.0
17,101.01,Battery_2,discharge,17.5,20.8,30.0
17,101.01,Battery_3,discharge,35.0,20.8,30.0
17,101.01,Battery_4,discharge,14.0,20.8,30.0
17,101.01,Battery_5,discharge,28.0,20.8,30.0
18,97.4,Battery_1,hold,0.0,16.5,50.0
18,97.4,Battery_2,hold,0.0,20.8,30.0
18,97.4,Battery_3,hold,0.0,20.8,30.0
18,97.4,Battery_4,hold,0.0,20.8,30.0
18,97.4,Battery_5,hold,0.0,20.8,30.0
19,65.4,Battery_1,hold,0.0,16.5,50.0
19,65.4,Battery_2,hold,0.0,20.8,30.0
19,65.4,Battery_3,hold,0.0,20.8,30.0
19,65.4,Battery_4,hold,0.0,20.8,30.0
19,65.4,Battery_5,hold,0.0,20.8,30.0
20,28.73,Battery_1,hold,0.0,16.5,50.0
20,28.73,Battery_2,hold,0.0,20.8,30.0
20,28.73,Battery_3,hold,0.0,20.8,30.0
20,28.73,Battery_4,hold,0.0,20.8,30.0
20,28.73,Battery_5,hold,0.0,20.8,30.0
