perfect,deterministic,ensemble_mean,cvar_stochastic,date
31831.232949999998,29599.429399999994,30661.17259999999,29609.42905,2026-07-17
36753.23459999999,35523.857599999996,34274.5983,32835.4987,2026-07-18
71205.442,69419.8541,69733.2721,69815.7711,2026-07-19
35839.6706,33646.4792,32681.071849999993,31002.012450000002,2026-07-20
32621.7253,31655.625249999997,29405.038300000004,29516.200500000003,2026-07-21
31196.672400000003,26028.761000000006,26665.487899999996,27733.9343,2026-07-22
30796.243400000003,28611.67745,27988.91375,27709.65715,2026-07-23
48169.2969,43149.799100000004,43091.88709999999,43052.397150000004,2026-07-24
82490.1582,82239.8876,81893.2206,81892.7486,2026-07-25
81969.9329,75728.88780000001,75655.25540000001,75825.06695,2026-07-26
54313.29815,24841.720999999998,24296.4936,29967.5011,2026-07-27
62566.764299999995,61219.483199999995,60956.65255,60728.24859999999,2026-07-28
34587.6244,30742.358449999996,29650.592,32304.9207,2026-07-29
31473.422,25135.1029,25535.276700000002,26802.977099999996,2026-07-30
29475.422449999995,28148.982400000004,26368.942350000005,26332.484,2026-07-31
55561.600699999995,52191.680199999995,53341.78869999999,51690.54069999999,2026-08-01
30872.809449999993,25183.533649999998,24211.92064999999,25230.621849999992,2026-08-02
30973.658949999994,28684.514249999997,26363.3897,27568.6763,2026-08-04
64045.9009,60502.0818,60224.94455,56285.891350000005,2026-08-05
41102.4167,28828.919699999988,28030.380899999996,28030.380899999996,2026-08-06
47211.1363,46581.5184,46639.039099999995,45944.001099999994,2026-08-07
80821.37220000001,78676.1206,78432.26889999998,78465.2764,2026-08-08
68100.6776,65800.0557,66141.4717,67342.53850000001,2026-08-09
41094.1238,35520.8494,34688.6635,33288.94895,2026-08-10
47149.12330000001,45762.8685,45952.920099999996,46084.02834999999,2026-08-11
39911.951799999995,33516.61685,32839.16725,34080.735100000005,2026-08-12
44961.802899999995,40925.20420000001,40239.48200000001,40254.617500000015,2026-08-13
43430.39245,41080.678499999995,40995.43935,34616.4651,2026-08-14
33269.482749999996,26837.933200000003,26324.74519999999,26898.928849999997,2026-08-15
41984.74380000001,35632.34994999999,35638.38984999999,33878.205,2026-08-16
38123.16675,33863.974749999994,32851.011,33813.442899999995,2026-08-17
41474.783500000005,36310.79419999999,36278.39659999999,37096.6971,2026-08-18
35408.65575,28676.3766,30003.829299999998,30717.1363,2026-08-19
32189.936999999994,23913.440449999995,22866.894500000002,24336.501849999997,2026-08-20
31349.3438,24768.943399999996,25247.157399999996,27471.119399999996,2026-08-21
69154.3365,53621.2136,53248.306599999996,51654.683950000006,2026-08-22
36253.9642,34066.0033,33564.33705,33369.78155,2026-08-24
41618.39709999999,39832.98629999999,40068.92019999999,38286.77674999999,2026-08-25
38911.19295,34946.6442,34326.355200000005,33808.873550000004,2026-08-26
48651.1271,41957.551999999996,39003.212750000006,38611.26545,2026-08-27
33045.24375,28178.09115,26666.5642,27204.245300000002,2026-08-28
41566.956999999995,34729.102100000004,34560.18609999999,25859.370949999997,2026-08-29
33438.3595,20536.425999999992,21886.189450000005,29615.131549999995,2026-08-30
53212.20309999999,49276.21029999999,49288.15529999999,47722.8508,2026-08-31
71361.87474999999,68213.3404,67505.0597,64662.901099999995,2026-09-01
37816.42235,30796.5294,30764.713699999997,30720.98455,2026-09-02
76055.85579999999,68261.6635,65142.9519,71539.4656,2026-09-03
58430.727599999984,54311.8603,55329.5983,55803.43394999999,2026-09-04
82648.86319999999,78690.27530000001,79245.9779,79043.2838,2026-09-05
103547.28409999999,92875.5563,91176.3223,83274.4712,2026-09-06
44796.9675,40535.50439999999,41420.39199999999,41178.59199999999,2026-09-07
38154.0845,20819.38099999999,21241.004299999993,21216.030649999993,2026-09-08
50877.716,38084.56330000001,33273.7994,33071.4596,2026-09-09
56628.4518,55308.753399999994,55862.22469999999,55948.665199999996,2026-09-10
40876.91055,37314.658299999996,37442.1887,35838.28949999999,2026-09-11
110537.02070000001,85764.05380000001,84584.1253,84894.6173,2026-09-12
48929.3257,46483.760899999994,46227.09339999999,45859.797399999996,2026-09-13
43941.0612,41025.31599999999,40815.30829999999,40218.515999999996,2026-09-14
