settlementDate,settlementPeriod,startTime,publishTime,nationalDemand,transmissionSystemDemand
2025-06-03,1,2025-06-02T23:00:00Z,2025-06-02T11:47:00Z,18100,19915
2025-06-03,2,2025-06-02T23:30:00Z,2025-06-02T11:47:00Z,17560,19375
2025-06-03,3,2025-06-03T00:00:00Z,2025-06-02T11:47:00Z,16990,19270
2025-06-03,4,2025-06-03T00:30:00Z,2025-06-02T11:47:00Z,16979,19259
2025-06-03,5,2025-06-03T01:00:00Z,2025-06-02T11:47:00Z,17120,19855
2025-06-03,6,2025-06-03T01:30:00Z,2025-06-02T11:47:00Z,16807,19542
2025-06-03,7,2025-06-03T02:00:00Z,2025-06-02T11:47:00Z,16382,19134
2025-06-03,8,2025-06-03T02:30:00Z,2025-06-02T11:47:00Z,16045,18797
2025-06-03,9,2025-06-03T03:00:00Z,2025-06-02T11:47:00Z,15590,18342
2025-06-03,10,2025-06-03T03:30:00Z,2025-06-02T11:47:00Z,16110,18862
2025-06-03,11,2025-06-03T04:00:00Z,2025-06-02T11:47:00Z,16079,18806
2025-06-03,12,2025-06-03T04:30:00Z,2025-06-02T11:47:00Z,16396,19123
2025-06-03,13,2025-06-03T05:00:00Z,2025-06-02T11:47:00Z,17938,20665
2025-06-03,14,2025-06-03T05:30:00Z,2025-06-02T11:47:00Z,18941,21668
2025-06-03,15,2025-06-03T06:00:00Z,2025-06-02T11:47:00Z,20615,23332
2025-06-03,16,2025-06-03T06:30:00Z,2025-06-02T11:47:00Z,21830,24547
2025-06-03,17,2025-06-03T07:00:00Z,2025-06-02T11:47:00Z,23371,25684
2025-06-03,18,2025-06-03T07:30:00Z,2025-06-02T11:47:00Z,23686,25999
2025-06-03,19,2025-06-03T08:00:00Z,2025-06-02T11:47:00Z,24350,25958
2025-06-03,20,2025-06-03T08:30:00Z,2025-06-02T11:47:00Z,23945,25553
2025-06-03,21,2025-06-03T09:00:00Z,2025-06-02T11:47:00Z,23201,25159
2025-06-03,22,2025-06-03T09:30:00Z,2025-06-02T11:47:00Z,22770,24728
2025-06-03,23,2025-06-03T10:00:00Z,2025-06-02T11:47:00Z,21776,23596
2025-06-03,24,2025-06-03T10:30:00Z,2025-06-02T11:47:00Z,21674,23494
2025-06-03,25,2025-06-03T11:00:00Z,2025-06-02T11:47:00Z,21140,23093
2025-06-03,26,2025-06-03T11:30:00Z,2025-06-02T11:47:00Z,20764,22717
2025-06-03,27,2025-06-03T12:00:00Z,2025-06-02T11:47:00Z,20685,22655
2025-06-03,28,2025-06-03T12:30:00Z,2025-06-02T11:47:00Z,19889,21859
2025-06-03,29,2025-06-03T13:00:00Z,2025-06-02T11:47:00Z,19300,21531
2025-06-03,30,2025-06-03T13:30:00Z,2025-06-02T11:47:00Z,19290,21520
2025-06-03,31,2025-06-03T14:00:00Z,2025-06-02T11:47:00Z,19492,21231
2025-06-03,32,2025-06-03T14:30:00Z,2025-06-02T11:47:00Z,19602,21341
2025-06-03,33,2025-06-03T15:00:00Z,2025-06-02T11:47:00Z,20793,22347
2025-06-03,34,2025-06-03T15:30:00Z,2025-06-02T11:47:00Z,21615,23169
2025-06-03,35,2025-06-03T16:00:00Z,2025-06-02T11:47:00Z,23041,23909
2025-06-03,36,2025-06-03T16:30:00Z,2025-06-02T11:47:00Z,23778,24646
2025-06-03,37,2025-06-03T17:00:00Z,2025-06-02T11:47:00Z,24747,25827
2025-06-03,38,2025-06-03T17:30:00Z,2025-06-02T11:47:00Z,25277,26357
2025-06-03,39,2025-06-03T18:00:00Z,2025-06-02T11:47:00Z,26006,26862
2025-06-03,40,2025-06-03T18:30:00Z,2025-06-02T11:47:00Z,26030,26886
2025-06-03,41,2025-06-03T19:00:00Z,2025-06-02T11:47:00Z,26090,26884
2025-06-03,42,2025-06-03T19:30:00Z,2025-06-02T11:47:00Z,25992,26786
2025-06-03,43,2025-06-03T20:00:00Z,2025-06-02T11:47:00Z,25841,26347
2025-06-03,44,2025-06-03T20:30:00Z,2025-06-02T11:47:00Z,25535,26041
2025-06-03,45,2025-06-03T21:00:00Z,2025-06-02T11:47:00Z,24746,25252
2025-06-03,46,2025-06-03T21:30:00Z,2025-06-02T11:47:00Z,23625,24131
2025-06-03,47,2025-06-03T22:00:00Z,2025-06-02T11:47:00Z,21762,22262
2025-06-03,48,2025-06-03T22:30:00Z,2025-06-02T11:47:00Z,21140,21640
2025-06-04,1,2025-06-03T23:00:00Z,2025-06-02T11:47:00Z,20550,21050
2025-06-04,2,2025-06-03T23:30:00Z,2025-06-02T11:47:00Z,19921,20421
2025-06-04,3,2025-06-04T00:00:00Z,2025-06-02T11:47:00Z,19660,20160
2025-06-04,4,2025-06-04T00:30:00Z,2025-06-02T11:47:00Z,19570,20070
2025-06-04,5,2025-06-04T01:00:00Z,2025-06-02T11:47:00Z,19512,20012
2025-06-04,6,2025-06-04T01:30:00Z,2025-06-02T11:47:00Z,19188,19688
2025-06-04,7,2025-06-04T02:00:00Z,2025-06-02T11:47:00Z,18701,19201
2025-06-04,8,2025-06-04T02:30:00Z,2025-06-02T11:47:00Z,18477,18977
2025-06-04,9,2025-06-04T03:00:00Z,2025-06-02T11:47:00Z,18310,18810
2025-06-04,10,2025-06-04T03:30:00Z,2025-06-02T11:47:00Z,17950,18450
