settlementPeriod,price,method,generated_on,n_train_days
1,88.93,weekday,2026-08-03,7
2,86.98,weekday,2026-08-03,7
3,83.74,weekday,2026-08-03,7
4,81.31,weekday,2026-08-03,7
5,76.97,weekday,2026-08-03,7
6,74.83,weekday,2026-08-03,7
7,72.24,weekday,2026-08-03,7
8,72.71,weekday,2026-08-03,7
9,69.8,weekday,2026-08-03,7
10,67.61,weekday,2026-08-03,7
11,66.85,weekday,2026-08-03,7
12,65.4,weekday,2026-08-03,7
13,58.63,weekday,2026-08-03,7
14,57.26,weekday,2026-08-03,7
15,53.9,weekday,2026-08-03,7
16,54.13,weekday,2026-08-03,7
17,50.98,weekday,2026-08-03,7
18,50.63,weekday,2026-08-03,7
19,46.05,weekday,2026-08-03,7
20,46.29,weekday,2026-08-03,7
21,45.06,weekday,2026-08-03,7
22,43.41,weekday,2026-08-03,7
23,41.38,weekday,2026-08-03,7
24,41.3,weekday,2026-08-03,7
25,42.8,weekday,2026-08-03,7
26,42.82,weekday,2026-08-03,7
27,45.61,weekday,2026-08-03,7
28,42.61,weekday,2026-08-03,7
29,45.38,weekday,2026-08-03,7
30,48.46,weekday,2026-08-03,7
31,51.09,weekday,2026-08-03,7
32,58.68,weekday,2026-08-03,7
33,62.19,weekday,2026-08-03,7
34,70.19,weekday,2026-08-03,7
35,81.58,weekday,2026-08-03,7
36,91.89,weekday,2026-08-03,7
37,96.24,weekday,2026-08-03,7
38,101.33,weekday,2026-08-03,7
39,110.62,weekday,2026-08-03,7
40,114.94,weekday,2026-08-03,7
41,114.29,weekday,2026-08-03,7
42,115.34,weekday,2026-08-03,7
43,114.17,weekday,2026-08-03,7
44,111.33,weekday,2026-08-03,7
45,110.24,weekday,2026-08-03,7
46,105.38,weekday,2026-08-03,7
47,97.46,weekday,2026-08-03,7
48,92.04,weekday,2026-08-03,7
