date,method,mae,rmse,cheap_hits,peak_hits,n_periods,n_train_days,staleness_days
2024-08-04,naive,23.45,29.31,3,0,46,1,1
2024-08-04,mean_7,23.45,29.31,3,0,46,1,1
2024-08-04,mean_90,23.45,29.31,3,0,46,1,1
2024-08-04,weekday,23.45,29.31,3,0,46,1,1
2024-08-05,naive,43.16,47.5,0,0,48,1,1
2024-08-05,mean_7,34.32,40.74,0,0,48,2,1
2024-08-05,mean_90,34.32,40.74,0,0,48,2,1
2024-08-05,weekday,34.32,40.74,0,0,48,2,1
2024-08-06,naive,20.91,27.59,1,0,48,1,1
2024-08-06,mean_7,16.5,19.87,0,0,48,3,1
2024-08-06,mean_90,16.5,19.87,0,0,48,3,1
2024-08-06,weekday,20.91,27.59,1,0,48,1,1
2024-08-07,naive,14.62,18.45,2,0,48,1,1
2024-08-07,mean_7,8.54,11.22,3,2,48,4,1
2024-08-07,mean_90,8.54,11.22,3,2,48,4,1
2024-08-07,weekday,9.84,13.12,3,3,48,2,1
2024-08-08,naive,20.18,23.36,0,0,48,1,1
2024-08-08,mean_7,14.96,16.69,0,0,48,5,1
2024-08-08,mean_90,14.96,16.69,0,0,48,5,1
2024-08-08,weekday,18.44,22.62,0,0,48,3,1
2024-08-09,naive,52.93,60.35,0,0,48,1,1
2024-08-09,mean_7,43.57,49.13,0,2,48,6,1
2024-08-09,mean_90,43.57,49.13,0,2,48,6,1
2024-08-09,weekday,42.32,50.06,0,2,48,4,1
2024-08-10,naive,15.77,19.73,0,3,48,1,1
2024-08-10,mean_7,45.05,50.01,0,3,48,7,1
2024-08-10,mean_90,45.05,50.01,0,3,48,7,1
2024-08-10,weekday,53.57,59.79,0,1,48,2,1
2024-08-11,naive,62.7,67.54,0,1,48,1,1
2024-08-11,mean_7,26.97,31.47,0,1,48,7,1
2024-08-11,mean_90,24.36,29.02,0,1,48,8,1
2024-08-11,weekday,28.12,30.59,1,0,48,3,1
2024-08-12,naive,46.79,55.91,0,3,48,1,1
2024-08-12,mean_7,25.71,28.25,3,3,48,7,1
2024-08-12,mean_90,29.48,32.64,1,3,48,9,1
2024-08-12,weekday,26.47,28.94,2,3,48,5,1
2024-08-13,naive,44.22,57.9,0,0,48,1,1
2024-08-13,mean_7,28.21,36.23,0,0,48,7,1
2024-08-13,mean_90,25.39,32.48,0,0,48,10,1
2024-08-13,weekday,28.5,38.39,0,0,48,6,1
