date,perfect__free,perfect__blind,perfect__aware,naive__free,naive__blind,naive__aware,mean_7__free,mean_7__blind,mean_7__aware,regression__free,regression__blind,regression__aware,reg_demand__free,reg_demand__blind,reg_demand__aware
2024-09-03,21245.4773,19127.2483,19786.248499999998,15649.758849999993,12695.985349999997,14891.806249999994,17767.033600000002,14539.540599999998,16715.731699999997,17370.649199999993,14474.701199999994,14936.238899999998,19811.814899999998,17612.1339,17612.1339
2024-09-04,24519.4221,21784.903100000003,22252.9918,22723.120100000004,20604.8911,20992.496,23141.70775000001,20413.200249999994,20467.5589,22997.679450000003,21135.30945,20551.8742,22332.058599999997,20237.8756,20166.974949999996
2024-09-05,26987.728950000004,24586.823450000004,24692.230000000007,19984.677549999997,17250.15855,19667.301099999997,17723.81715,15165.657649999994,17795.661949999994,16980.8231,13601.007599999999,14991.837200000002,19336.408900000002,16167.738900000002,18707.926199999998
2024-09-06,24142.7733,21767.808299999997,22003.895299999996,19028.5754,16627.6699,18092.4135,21581.5608,19037.2608,19399.782049999998,21077.76195,18493.072949999994,19277.0769,20954.0013,18574.856799999998,19136.283299999996
2024-09-07,28583.246900000002,26383.5659,26383.5659,24543.947500000002,22168.9825,23863.30175,21044.6511,18500.3511,21751.7754,26368.280600000002,24679.8446,24818.492249999996,23006.028749999998,21147.867249999996,23020.995450000002
2024-09-08,20918.444050000002,19394.324549999998,19462.092099999994,18959.7235,16760.0425,16760.0425,20183.88825,18280.555749999996,18553.7251,20665.91,19308.536999999997,19339.96985,20100.03055,18070.91405,19098.3635
2024-09-09,23773.307500000003,20799.4555,21150.86,18919.93665,17395.81715,17961.663500000002,17983.969600000004,16295.533599999999,17266.57825,14617.712399999997,11402.237899999993,12936.277699999999,16660.066700000003,13594.007199999996,13974.492499999997
2024-09-10,44270.28615,40305.211149999996,40407.71215,25272.0275,22298.175499999998,22770.3453,23988.083249999996,22290.029749999994,21711.73335,37472.835250000004,33227.48475,33381.0247,37892.183399999994,33637.0949,34924.297600000005
2024-09-11,44890.890699999996,41016.6312,41284.31219999999,31007.8974,27042.8224,25581.597550000002,36605.5193,34240.2923,29632.875599999996,38033.815350000004,33759.25085,34185.747,39211.6586,34890.87209999999,36248.029149999995
2024-09-12,26198.87495,23314.438949999996,23634.6456,16894.920400000003,13020.660899999995,16676.102099999996,20935.716,18213.822499999995,17757.25125,21462.6308,17968.1573,17838.33565,21027.887899999998,17609.727399999992,17590.843249999994
2024-09-13,22930.688000000002,20703.5715,20960.7114,20620.341100000005,17735.9051,18892.740199999997,20004.835100000004,16923.4121,17352.112449999997,16567.19605,14152.618549999992,13295.835999999996,19394.040100000006,17184.621099999997,17152.569
2024-09-14,46998.11165,43392.62915,43487.296700000006,21247.7941,19020.677600000003,13556.428049999999,23700.241799999996,20726.389799999997,18729.24905,43248.4997,39679.9402,37494.216499999995,43812.4623,40596.987799999995,40598.3019
2024-09-15,27319.9602,25013.1612,25112.8154,1200.9792999999993,-2404.5031999999997,-1296.9903000000036,14357.217700000005,10653.256699999994,10308.939299999995,15997.962699999998,12405.747699999998,14257.212099999995,15381.909200000004,11634.966199999997,11540.002899999996
2024-09-16,32710.475300000002,29517.754799999995,29577.97355,19228.294500000004,16921.495499999997,17623.808699999998,29830.411600000003,26126.450600000004,26311.3494,31031.038,28472.671,24458.408449999995,31674.850400000007,28933.4809,28812.217549999998
2024-09-17,28439.956700000002,25644.7247,25693.153349999993,24770.41425,21577.69375,22311.01565,26106.942099999993,22402.981099999997,22236.46725,27777.629300000004,25059.9398,23840.473749999997,26522.017399999997,23741.300899999995,23261.064899999998
2024-09-18,26794.988599999997,23212.362099999995,23751.422749999998,23941.343249999998,21146.111249999998,21450.254199999996,24623.1133,20919.1523,21202.09485,24747.829500000003,22030.14,22016.834199999998,25743.2713,22755.352299999995,22739.650749999997
2024-09-19,27238.30864999999,24155.415149999997,24509.776599999994,25281.50094999999,21698.874449999996,22085.594549999994,25715.28485,22522.568849999996,23393.612099999995,25900.10495,23137.18195,23160.279199999994,25799.09425,23028.115749999994,22495.930949999994
2024-09-20,19342.5341,17654.098099999996,17900.640199999998,14433.343799999997,11350.450299999999,12813.231149999996,14610.576,11602.366499999995,12483.012449999998,15767.588849999998,13214.240349999996,13984.576249999995,16433.862299999997,13894.971299999997,15681.339299999998
2024-09-21,23490.977150000002,21599.66765,21874.3495,21880.4436,20192.007599999997,21373.2987,16515.984300000004,13538.1648,15307.216549999997,18319.512499999997,15423.564499999997,17512.599249999996,19114.123400000004,16899.2954,17903.7428
2024-09-22,24759.589899999995,22659.997899999995,22905.0668,21405.8335,19514.523999999998,21945.490199999997,19173.904800000004,16819.1388,17439.512049999998,22156.8667,19957.185699999998,20329.8051,21684.993000000002,19485.311999999998,19485.311999999998
2024-09-23,23217.8663,21008.447299999993,21054.814599999998,19239.0844,17139.4924,18092.4917,17606.3292,15251.563199999997,17799.75935,21628.605199999998,19940.169199999997,19556.1485,22197.918899999997,19998.2379,19998.2379
2024-09-24,19501.12895,17459.150449999994,17895.7733,12796.897900000002,10587.478900000002,11038.249799999998,16312.292300000003,14778.5553,14910.35455,16467.0746,14348.850099999996,15765.53265,15046.67285,12930.84935,14410.503299999998
2024-09-25,20109.1236,18082.412599999996,18567.257149999998,15248.60705,13206.62855,14976.217799999999,18368.3087,16873.128699999997,17837.24125,17731.6822,15532.001199999993,15532.001199999993,16762.148699999998,14562.467699999996,14562.467699999996
2024-09-26,19598.332150000002,17900.278649999997,18358.1615,11117.577250000002,9090.86625,11586.12355,18141.504549999998,16861.221049999996,17788.294449999998,15573.0247,12157.988199999994,13477.119849999995,15504.1621,12217.971099999992,13116.7737
2024-09-27,43543.6795,40282.5895,40458.3938,19355.840950000005,17657.787449999996,15016.9535,20342.2785,19276.895999999997,17859.023,36688.4434,32544.112399999995,33006.864499999996,37320.758,33186.16499999999,33453.74505
2024-09-28,39259.34085,36727.51235,37020.674,32727.435350000003,29466.345349999996,30734.450999999997,37083.4532,34883.77219999999,34154.130000000005,33791.3819,30517.213900000002,34990.17630000001,32854.78079999999,29262.565799999993,31105.079400000002
2024-09-29,21785.6935,19862.209,20224.489999999998,14615.823799999995,12083.995299999993,13109.291499999996,18242.6507,16042.969699999996,16042.969699999996,16376.778499999999,14099.554999999997,14321.414199999996,14580.465249999997,12027.116749999994,12714.640149999996
2024-09-30,35734.5912,33359.6262,33364.0511,20162.813,18239.3285,13873.9287,29492.5137,27292.8327,27292.8327,31554.861249999998,29185.06875,29548.430699999997,31844.5467,29644.865699999995,29644.865699999995
2024-10-01,33937.22755,31700.759050000004,31722.048000000003,26452.7459,24077.7809,24140.0675,31318.135,29118.453999999998,29118.453999999998,26585.114849999994,23433.432849999994,25524.476150000002,28202.878599999996,24973.495600000002,26438.2091
2024-10-02,24281.314700000003,22059.993199999997,22120.2108,23487.00725,21250.538749999996,21312.581799999996,23205.779200000004,21006.0982,21006.0982,20445.6414,17159.450399999994,17787.129599999997,22196.885299999998,19456.118299999995,20443.79585
2024-10-03,24266.114,22126.244499999997,22143.7459,19762.97715,17541.65565,17878.760599999994,18875.1843,16675.503299999997,16675.503299999997,18066.6829,15337.938899999997,15048.602899999998,20375.017050000006,18056.315550000003,17942.945099999997
2024-10-04,29063.04745,25631.301949999997,25913.9144,23367.772849999998,21227.903349999997,20366.53245,25554.357899999995,23354.676899999995,23354.676899999995,26902.406000000003,23314.370499999997,24392.477549999996,26161.626749999996,23171.78424999999,23716.375599999996
