date,sp_1,sp_2,sp_3,sp_4,sp_5,sp_6,sp_7,sp_8,sp_9,sp_10,sp_11,sp_12,sp_13,sp_14,sp_15,sp_16,sp_17,sp_18,sp_19,sp_20,sp_21,sp_22,sp_23,sp_24,sp_25,sp_26,sp_27,sp_28,sp_29,sp_30,sp_31,sp_32,sp_33,sp_34,sp_35,sp_36,sp_37,sp_38,sp_39,sp_40,sp_41,sp_42,sp_43,sp_44,sp_45,sp_46,sp_47,sp_48
2024-09-03,-0.5642,-1.8014,-8.5803,-7.403,-2.4178,-1.1576,-5.2529,-2.5956,0.6549,-3.0655,8.7654,27.2231,28.6331,15.83,19.3838,9.6601,5.8065,6.0705,23.8527,13.6856,17.0649,22.7582,17.333,19.4547,20.6444,15.3276,18.5284,20.6306,21.2504,18.1806,15.2529,17.3411,24.4181,18.4493,18.0763,5.257,19.4867,15.9457,23.3599,23.2854,19.6321,15.4307,20.6589,27.3649,14.5999,20.8748,18.1615,21.3939
2024-09-04,19.6644,20.1007,10.0253,10.4026,17.095,15.7724,18.3426,22.2544,20.6874,22.2056,22.2108,34.7664,23.5077,17.0377,10.6829,15.3592,22.5246,27.7697,29.7595,33.1345,35.8127,31.4537,29.4556,27.4637,29.4999,25.7952,36.1227,30.634,23.4283,24.8651,25.3695,21.2277,26.7972,10.7244,10.4234,-5.0522,-2.4243,1.521,23.3925,24.8906,21.5588,25.0107,8.6311,7.0913,12.3814,14.1629,13.7962,8.9047
2024-09-05,6.5452,3.5118,-3.8837,0.8224,0.9416,3.8716,-3.5018,4.6244,4.4775,9.7461,8.948,26.0119,27.829,28.4523,-2.4081,-4.2433,-12.4992,-7.2169,-3.2484,-3.0764,-11.2138,-11.5213,-13.6188,-17.7278,-16.8698,-12.0876,-14.3728,-18.7588,-20.048,-14.8592,-15.2396,-10.3692,1.1973,-3.5741,-2.3178,-3.6063,0.0022,0.6656,-3.5197,-4.6882,-8.5685,-4.1669,-4.0034,-1.8495,-3.0816,-7.2568,-23.4698,-23.0702
2024-09-06,-21.7648,-22.594,-23.9159,-27.7264,-23.1772,-25.812,-19.5869,-19.1938,-23.3913,-16.237,-32.3179,-21.8608,-22.7476,-16.9274,-20.8439,-16.4392,-21.2852,-23.3704,-28.5724,-29.1529,-26.4121,-29.2929,-27.3012,-25.2313,-13.2735,-11.5971,-5.1951,-1.5428,-2.3708,-5.1344,-8.8245,-10.6159,-11.5813,-14.3733,2.5967,-7.0887,0.5013,0.8543,-1.4397,-1.3395,7.574,10.5716,-0.8866,4.864,6.5932,3.1837,-3.1191,5.6226
2024-09-07,6.093,6.4279,11.3494,10.7136,10.7895,13.9038,13.724,10.9519,9.785,10.647,13.2806,8.836,17.7868,14.5951,9.2505,12.7474,14.7046,5.4379,-3.904,-3.3831,-2.427,-8.6053,-14.0988,-14.7859,-13.4249,-14.513,-18.4126,-21.2889,-19.1396,-17.7765,-18.6934,-18.7841,-4.6952,-11.4733,-11.5776,-15.9758,-8.9905,-20.1594,-19.1207,-13.4544,5.0663,1.1774,2.4262,4.0841,4.4509,2.9786,7.6046,10.5135
2024-09-08,-0.2073,-0.6314,3.2079,0.2334,-7.19,-3.8876,-1.3094,-0.3708,-2.1072,-5.0934,-2.6825,-2.5691,-4.0161,-7.0432,-15.5085,-11.7381,-14.1772,-12.9738,-16.0155,-13.8329,-14.7865,-14.8662,-14.3788,-13.16,-8.1142,-8.0069,-10.665,-5.1165,-3.9403,-7.0344,-7.8296,-7.3507,2.0207,-1.094,-1.2336,-7.3429,2.592,5.7169,12.4907,10.5097,3.0195,0.1703,1.5905,-0.044,3.5405,-7.6937,-12.4119,-7.3459
2024-09-09,-18.6414,-15.7777,-18.4602,-22.6944,-31.5874,-25.422,-29.738,-31.7643,-32.6561,-28.1544,-16.9127,5.683,-18.6688,-20.0724,-31.168,-26.3269,-37.3422,-37.0538,-41.7297,-32.0039,-38.091,-36.0411,-27.3441,-27.314,-19.2152,-18.2901,-8.2323,-0.8711,-12.1142,-15.4322,-14.269,-20.9309,-14.4448,-19.039,-5.5242,-5.8123,13.0507,14.1677,18.5794,23.704,24.2689,26.2546,12.9101,10.8277,-6.5443,1.9442,-20.7097,-25.9654
2024-09-10,-35.7958,-30.0815,-42.6395,-22.2418,-18.6925,-13.1268,-22.6883,-18.995,-38.6105,-32.7188,-48.2752,-30.8772,-32.5455,-34.4205,-53.7308,-60.5206,-56.3981,-53.0838,-50.9489,-39.2046,-12.2537,-5.5121,-6.4147,-1.4511,-3.8242,-9.8703,-9.8597,-16.1845,-23.7589,-21.5468,-16.1937,-30.8045,-27.5599,-33.6934,-29.1779,-24.7474,-15.3693,-17.8614,-10.9502,-13.0273,-20.2293,-17.4525,-9.4725,17.4112,11.6397,31.6311,21.3156,42.4177
2024-09-11,40.1297,40.102,28.0741,27.4713,25.6647,22.3125,19.543,20.2821,23.1571,27.0061,33.1791,41.2257,-2.5164,-18.3898,-16.3102,-23.817,-26.3966,-20.0763,-9.7604,10.7588,-18.2274,-11.7085,-20.0025,-29.1756,-22.77,-18.9,-16.5478,-18.0738,-29.2234,-29.6401,-30.3694,-10.8927,-37.6094,-29.2031,-17.3309,-5.8257,-11.6009,-9.1316,5.5303,1.0753,-1.0978,4.0429,-11.5507,-18.4755,-16.6645,-25.481,-36.9406,-27.5576
2024-09-12,-17.6691,-23.4851,-18.58,-14.7749,-16.4428,-24.5933,-26.6097,-22.3802,-29.5043,-23.0358,-23.4938,-14.7797,-26.6607,-28.9645,-34.4939,-30.257,-13.8714,-5.4726,-5.6766,-11.278,-9.5012,-20.0825,-25.4581,-26.0655,-22.5414,-15.1184,-10.8843,-15.0917,-11.7714,0.9666,2.1942,1.2564,13.2331,18.9088,23.791,25.4956,11.999,13.0091,14.1306,9.0708,2.8434,2.2658,7.4679,5.7123,2.3637,9.2942,7.5284,1.8798
2024-09-13,9.0031,13.6636,9.831,16.7417,16.1723,16.8164,17.1758,15.7744,12.9132,11.416,2.2166,7.7169,6.5978,1.5637,-4.283,-1.5108,9.4479,11.0229,17.6993,17.6947,18.8687,17.9676,38.9133,23.0509,26.6887,20.3069,29.6933,22.5893,26.6529,18.1593,26.2784,26.3707,25.284,24.6532,39.7692,34.6417,39.3065,41.8758,28.4501,25.6193,24.5862,24.1675,27.5379,24.4037,21.0911,27.0095,13.6482,17.6909
2024-09-14,8.2301,11.48,16.3379,15.9372,16.1855,18.7881,15.8238,16.2973,15.6255,16.749,14.0196,18.3867,23.3291,25.111,12.1945,15.5912,11.0525,14.52,33.1512,44.1211,49.4033,53.144,49.7948,56.267,47.4625,47.1479,29.9464,25.7781,31.2517,30.9689,26.5906,22.9043,28.7102,17.4293,22.7663,4.892,24.9861,20.6033,16.0217,7.9991,9.6658,9.7428,7.894,5.8342,4.1938,2.6682,-9.4106,-10.5145
2024-09-15,-2.6951,-9.8235,-2.3619,-14.0638,-10.8324,-10.0525,-4.5088,-12.6161,-18.2432,-24.6354,-16.233,-7.2171,-11.0291,-16.3341,-23.1614,-25.6419,-33.7259,-35.5055,-39.375,-39.6944,-44.1836,-50.0178,-55.2603,-57.2581,-65.0957,-65.196,-66.034,-67.5267,-55.478,-56.0502,-48.766,-40.9309,-25.2556,-13.2085,-8.116,-4.2117,5.2464,4.6536,7.3971,2.3626,11.9218,6.0508,-0.8139,2.9335,2.6639,6.6855,5.8532,11.7721
2024-09-16,4.5025,0.0946,1.1067,0.3558,0.2044,2.5421,3.0928,2.4068,4.5719,3.2428,6.7696,8.7482,8.7049,-3.197,-16.6515,-19.2485,-23.2992,-23.1712,-3.3411,1.5721,8.108,10.0391,14.7643,16.596,17.3697,16.0769,13.4852,10.5758,6.4574,4.3889,6.0872,9.388,14.9656,0.6353,-4.1114,-7.1582,0.0312,4.7727,0.7953,-2.4605,4.3331,7.3762,14.3268,12.2016,11.305,11.9323,10.5111,13.2376
2024-09-17,5.289,8.8922,8.6057,8.482,11.6292,8.8186,12.5657,10.3742,2.7161,1.9386,-3.4742,11.9767,13.054,16.5302,-0.6906,1.4996,20.024,25.5351,23.2114,20.792,27.7932,24.0621,18.3782,15.9384,18.0552,18.3938,15.8651,14.5869,18.7913,19.5809,19.8238,19.51,25.1301,19.9555,6.8629,7.2775,2.2478,2.7157,9.6592,6.4689,-2.5057,10.7864,13.0398,8.5664,7.46,13.788,5.8507,12.7363
2024-09-18,8.2225,7.6273,8.3262,7.2182,2.4193,5.4993,9.6014,5.3521,8.3228,10.1658,4.1219,13.3126,11.3194,6.889,12.8933,8.4088,-2.0735,0.9642,6.6595,2.2182,-6.3705,-9.9735,-1.0125,1.8628,3.6272,2.5287,4.066,1.1447,5.0941,9.2153,10.3147,12.0933,10.1661,3.1544,6.9253,2.3301,1.8805,5.2878,2.396,-0.277,2.5319,6.3609,11.0075,9.4047,4.6274,4.1587,2.4964,6.4009
2024-09-19,3.1311,4.7919,1.0206,-0.9076,-3.903,-2.1654,-2.0545,-3.93,-6.6897,-5.3741,-6.8261,4.614,-1.0349,-4.6233,-4.4586,-3.0013,-1.0085,2.6393,0.4684,3.4279,7.3333,2.2451,0.0812,8.9823,13.9695,5.8372,10.702,13.0133,7.3277,-1.5163,-0.908,4.8467,6.2449,-8.9965,-10.4245,-1.7185,-0.4004,3.6399,9.1553,10.5606,3.9887,6.2068,8.5266,3.3295,3.1988,4.2419,9.5467,14.1104
2024-09-20,11.7868,10.3977,6.9459,4.9984,9.7492,5.7336,3.5783,4.6109,1.8091,3.0978,-1.1769,11.6108,17.6787,21.4315,30.1419,32.7371,20.1642,15.9971,12.6384,14.4952,17.3071,14.9985,7.1902,1.1448,-0.4765,4.356,0.7672,0.4086,0.2341,-2.5638,1.7373,9.9199,12.3523,10.3873,8.423,9.7351,9.1504,12.2446,13.0277,10.0192,9.819,8.2599,11.7259,2.8361,0.9405,1.2851,-10.3177,-8.1986
2024-09-21,-5.9247,-6.6945,-6.8626,-11.7275,-12.8414,-14.0946,-21.1873,-20.8637,-18.4457,-18.6308,-23.644,-17.4075,-13.9596,-4.1984,-3.6481,-7.378,-20.8464,-18.6881,-22.2104,-24.0029,-26.6835,-28.3348,-26.4369,-27.8487,-24.7638,-27.1863,-29.3691,-31.2901,-32.0646,-29.3616,-30.0634,-25.445,-21.7289,-16.7836,-20.9106,-19.8874,-12.1916,-11.283,-8.2183,-5.8536,-4.9682,5.5411,4.3594,3.0536,-0.8702,-9.1625,-9.4431,-5.4565
2024-09-22,-4.2503,-8.1956,-11.2644,-11.8152,-11.2987,-15.0295,-18.0127,-15.2121,-19.2483,-17.6308,-26.6903,-21.2937,-20.3365,-12.5097,-12.6992,-18.7557,-11.1051,-3.8096,-1.4034,-0.4548,-4.0026,-2.3264,-12.7197,-14.9951,-15.137,-18.7267,-20.1288,-17.2407,-7.4558,-6.3445,-7.8076,-6.6643,-12.6371,-13.6081,-5.7968,-5.7216,1.1906,0.2848,-2.1121,-1.1469,-6.3141,3.877,9.8746,7.0166,5.9257,5.9055,3.1307,14.4086
2024-09-23,7.6488,7.5049,8.8772,12.0182,13.7728,10.2456,11.6811,12.4675,15.742,16.7866,15.219,16.8806,30.7519,46.8451,35.2356,29.6198,28.3654,22.2331,23.0799,24.0284,25.6147,29.2339,28.2506,20.7144,21.3032,23.866,22.9456,28.8847,31.2173,35.8606,33.9446,35.3075,23.6237,11.0652,28.7232,20.5492,27.3128,25.9203,16.5635,14.8162,27.4667,18.4218,12.5262,14.0463,16.7092,17.2255,11.6015,-0.7871
2024-09-24,5.1494,3.7708,-8.5462,-8.052,-5.2615,3.3125,-1.529,-1.3706,-8.9194,-7.3781,-10.0596,9.9455,23.6967,20.1786,14.4901,13.4738,5.7693,8.3513,6.6576,11.1355,10.5302,17.6776,21.3401,18.1729,22.7488,21.6009,18.4049,15.2808,17.2471,20.8189,19.1882,19.1338,20.4465,11.7802,25.2696,23.6104,32.1446,35.3848,25.0368,23.3247,12.8698,7.0987,13.8541,12.7143,7.9225,9.0577,1.1597,10.5483
2024-09-25,3.9192,6.0879,3.6901,4.1861,6.4259,8.963,12.1052,9.6946,5.3672,5.1895,14.8479,14.3781,27.5386,43.881,51.8146,51.8265,28.2153,24.1893,27.3569,28.625,37.292,40.2,43.1041,43.8979,40.6591,44.4635,42.5139,42.9378,40.8052,40.0261,38.4972,39.0258,35.7144,28.8283,24.9631,24.8011,26.2813,25.136,24.0094,22.0352,12.5715,12.3187,6.173,-2.291,-0.3257,-7.2005,-28.7225,-35.5965
2024-09-26,-37.5476,-35.1526,-32.8669,-34.5334,-37.6068,-36.7706,-37.3526,-35.5554,-32.8656,-34.3397,-36.2765,-31.5471,-26.9403,-11.4408,-13.4296,-12.6407,-23.5262,-24.6159,-32.477,-30.7285,-26.6066,-25.558,-26.3965,-27.2133,-28.2076,-35.2438,-29.9764,-27.1163,-19.0382,-16.4297,-16.2583,-17.3737,-13.4687,-9.6417,-0.5884,-1.5571,0.4681,1.1019,-2.5312,2.3765,-0.8494,4.1062,-1.0046,-10.4932,-10.2357,-9.7775,31.4745,40.4571
2024-09-27,40.8982,43.0393,28.773,33.6535,22.246,27.7515,25.3891,22.5845,26.7229,30.2173,31.4461,25.0344,43.9221,5.9455,-14.2114,-25.565,-44.9086,-45.0528,-48.3842,-49.5761,-53.7566,-53.6656,-55.8762,-47.397,-52.4643,-47.1436,-38.7711,-40.3666,-40.777,-41.7646,-34.2542,-35.8747,-34.5506,-26.1426,-3.075,-7.0666,-5.5574,-5.3959,-13.8386,-14.7972,-16.9271,-15.4041,-0.5641,-4.5103,-14.7537,-14.9459,4.8083,6.827
2024-09-28,19.4949,16.6327,22.3471,20.6149,26.6701,34.1952,40.3667,38.3908,34.5589,25.4723,46.9173,34.8722,16.1365,19.2109,4.1752,0.1436,-1.1114,-2.6658,-10.6532,-11.5352,-11.4998,-13.47,-21.603,-22.5482,-23.8769,-25.9818,-26.2337,-26.5697,-22.0943,-19.6826,-13.8487,-26.5874,-22.3541,-25.2633,-13.9823,-11.6719,-17.1015,-16.0513,-20.1064,-19.8643,-20.8463,-20.7362,-11.9451,-7.2732,-11.2979,-5.0923,2.6215,2.5383
2024-09-29,9.162,3.3797,10.9186,9.4728,5.46,9.4136,6.4466,7.3786,3.4117,2.344,6.1538,4.0088,4.6953,4.3109,-3.1217,-6.4154,-29.9115,-16.6999,-25.5316,-27.2985,-25.2009,-27.8537,-24.3618,-20.5624,-27.7178,-25.7461,-30.0469,-31.8092,-29.745,-28.4552,-31.5406,-29.7775,-24.8948,-20.6674,-30.9091,-24.3981,-21.8419,-20.7625,-4.2469,-2.8745,2.4774,10.5776,22.258,25.2105,13.0673,27.0846,22.1479,24.5238
2024-09-30,24.1052,14.447,21.4338,14.3895,21.8139,11.7858,-1.0042,-1.2679,13.3414,12.3911,10.7607,-1.4871,2.1319,-6.2106,-9.7099,1.22,-12.1101,4.4823,5.4533,0.0725,-0.4849,-1.7937,-4.4458,-5.4141,-6.8643,-9.6768,-4.5858,-2.3312,4.5405,7.6206,13.7144,16.5773,31.1886,27.1557,30.9758,31.3668,28.8419,19.6827,10.1691,10.9375,6.6733,10.1307,5.347,-0.6125,-2.6699,-3.6586,2.3838,5.4486
2024-10-01,8.2953,10.695,5.8083,3.6235,12.9816,17.8146,6.8594,10.6158,10.3002,8.7048,-33.3667,-27.8542,-35.4163,-20.3452,-27.4116,-27.0549,-30.6491,-32.7232,-34.8996,-33.3835,-35.7047,-27.3607,-22.1108,-24.0626,-22.5668,-24.3898,-18.8217,-22.6243,-16.1916,-16.2512,-16.6702,-13.0034,-5.5405,1.44,5.0507,3.6755,2.1202,-0.3988,-3.8493,-0.9531,-0.4761,2.923,-1.3818,-3.0094,-7.441,-10.6572,-17.3613,-15.7852
