settlement_period,da_price,id_price,spread,asset,action,power_mw,soc,energy_mwh
1,108.68,110.2,1.52,Battery_1,hold,0.0,10.0,2.0
2,108.68,103.48,-5.2,Battery_1,charge,3.0,16.8,3.35
3,113.35,117.1,3.75,Battery_1,hold,0.0,16.8,3.35
4,110.18,114.88,4.7,Battery_1,hold,0.0,16.8,3.35
5,106.13,96.37,-9.76,Battery_1,charge,3.0,23.5,4.7
6,104.21,97.7,-6.51,Battery_1,charge,3.0,30.2,6.05
7,110.3,110.94,0.64,Battery_1,hold,0.0,30.2,6.05
8,110.96,109.38,-1.58,Battery_1,hold,0.0,30.2,6.05
9,113.72,113.64,-0.08,Battery_1,hold,0.0,30.2,6.05
10,111.19,106.92,-4.27,Battery_1,charge,3.0,37.0,7.4
11,125.11,129.51,4.4,Battery_1,hold,0.0,37.0,7.4
12,128.2,132.09,3.89,Battery_1,hold,0.0,37.0,7.4
13,132.73,133.06,0.33,Battery_1,discharge,0.72,35.0,7.0
14,139.64,145.28,5.64,Battery_1,discharge,3.0,26.7,5.33
15,135.18,137.52,2.34,Battery_1,discharge,3.0,18.3,3.67
16,145.19,140.89,-4.3,Battery_1,discharge,3.0,10.0,2.0
17,125.5,127.34,1.84,Battery_1,hold,0.0,10.0,2.0
18,130.32,125.53,-4.79,Battery_1,hold,0.0,10.0,2.0
19,110.52,114.91,4.39,Battery_1,hold,0.0,10.0,2.0
20,105.38,105.13,-0.25,Battery_1,hold,0.0,10.0,2.0
21,101.34,100.42,-0.92,Battery_1,hold,0.0,10.0,2.0
22,99.27,95.87,-3.4,Battery_1,charge,3.0,16.8,3.35
23,90.23,96.34,6.11,Battery_1,charge,2.56,22.5,4.5
24,90.18,89.41,-0.77,Battery_1,charge,3.0,29.2,5.85
25,88.59,86.45,-2.14,Battery_1,charge,3.0,36.0,7.2
26,88.04,86.28,-1.76,Battery_1,charge,3.0,42.8,8.55
27,91.38,94.04,2.66,Battery_1,charge,3.0,49.5,9.9
28,85.04,86.87,1.83,Battery_1,charge,3.0,56.2,11.25
29,85.7,87.76,2.06,Battery_1,charge,3.0,63.0,12.6
30,85.6,87.75,2.15,Battery_1,charge,3.0,69.8,13.95
31,91.5,102.21,10.71,Battery_1,hold,0.0,69.8,13.95
32,91.94,89.91,-2.03,Battery_1,charge,3.0,76.5,15.3
33,89.65,87.09,-2.56,Battery_1,charge,3.0,83.2,16.65
34,91.66,87.59,-4.07,Battery_1,charge,3.0,90.0,18.0
35,107.75,110.83,3.08,Battery_1,hold,0.0,90.0,18.0
36,120.46,126.1,5.64,Battery_1,hold,0.0,90.0,18.0
37,138.33,137.76,-0.57,Battery_1,hold,0.0,90.0,18.0
