settlement_period,da_price,id_price,spread,asset,action,power_mw,soc,energy_mwh,id_price_discharge,id_price_charge
1,4.17,5.69,1.52,Battery_1,hold,0.0,10.0,2.0,0.79,6.590000000000001
2,1.21,-3.99,-5.2,Battery_1,charge,3.0,16.8,3.35,-8.89,-3.0900000000000003
3,-1.14,2.61,3.75,Battery_1,charge,1.22,19.5,3.9,-2.2900000000000005,3.51
4,-1.69,3.01,4.7,Battery_1,hold,0.0,19.5,3.9,-1.8900000000000006,3.9099999999999997
5,-1.78,-11.54,-9.76,Battery_1,charge,3.0,26.2,5.25,-16.439999999999998,-10.639999999999999
6,0.05,-6.46,-6.51,Battery_1,charge,3.0,33.0,6.6,-11.36,-5.56
7,-0.63,0.01,0.64,Battery_1,charge,3.0,39.8,7.95,-4.890000000000001,0.91
8,-0.46,-2.04,-1.58,Battery_1,charge,3.0,46.5,9.3,-6.94,-1.1400000000000001
9,-0.44,-0.52,-0.08,Battery_1,charge,3.0,53.2,10.65,-5.42,0.38
10,0.61,-3.66,-4.27,Battery_1,charge,3.0,60.0,12.0,-8.56,-2.7600000000000002
11,10.35,14.75,4.4,Battery_1,discharge,3.0,51.7,10.33,9.85,15.65
12,20.49,24.38,3.89,Battery_1,discharge,3.0,43.3,8.67,19.479999999999997,25.279999999999998
13,11.61,11.94,0.33,Battery_1,discharge,3.0,35.0,7.0,7.039999999999999,12.84
14,10.56,16.2,5.64,Battery_1,discharge,3.0,26.7,5.33,11.299999999999999,17.099999999999998
15,7.92,10.26,2.34,Battery_1,discharge,3.0,18.3,3.67,5.359999999999999,11.16
16,9.36,5.06,-4.3,Battery_1,hold,0.0,18.3,3.67,0.15999999999999925,5.96
17,7.78,9.62,1.84,Battery_1,discharge,3.0,10.0,2.0,4.719999999999999,10.52
18,13.67,8.88,-4.79,Battery_1,hold,0.0,10.0,2.0,3.9800000000000004,9.780000000000001
19,3.07,7.46,4.39,Battery_1,hold,0.0,10.0,2.0,2.5599999999999996,8.36
