settlement_period,price,asset,action,power_mw,soc,energy_mwh
1,107.43,Battery_1,hold,0.0,50.0,10.0
2,104.79,Battery_1,hold,0.0,50.0,10.0
3,104.56,Battery_1,hold,0.0,50.0,10.0
4,107.23,Battery_1,hold,0.0,50.0,10.0
5,108.53,Battery_1,hold,0.0,50.0,10.0
6,103.1,Battery_1,hold,0.0,50.0,10.0
7,102.75,Battery_1,hold,0.0,50.0,10.0
8,104.78,Battery_1,hold,0.0,50.0,10.0
9,104.49,Battery_1,hold,0.0,50.0,10.0
10,101.26,Battery_1,hold,0.0,50.0,10.0
11,112.99,Battery_1,hold,0.0,50.0,10.0
12,118.32,Battery_1,discharge,4.0,38.9,7.78
13,116.54,Battery_1,discharge,2.4,32.2,6.44
14,122.37,Battery_1,discharge,4.0,21.1,4.22
15,123.19,Battery_1,discharge,4.0,10.0,2.0
16,115.92,Battery_1,hold,0.0,10.0,2.0
17,114.96,Battery_1,hold,0.0,10.0,2.0
18,112.04,Battery_1,hold,0.0,10.0,2.0
19,101.61,Battery_1,hold,0.0,10.0,2.0
20,101.86,Battery_1,hold,0.0,10.0,2.0
21,94.52,Battery_1,hold,0.0,10.0,2.0
22,100.45,Battery_1,hold,0.0,10.0,2.0
23,92.52,Battery_1,hold,0.0,10.0,2.0
24,86.62,Battery_1,hold,0.0,10.0,2.0
25,88.4,Battery_1,hold,0.0,10.0,2.0
26,88.48,Battery_1,hold,0.0,10.0,2.0
27,83.75,Battery_1,charge,3.56,18.0,3.6
28,85.01,Battery_1,hold,0.0,18.0,3.6
29,78.44,Battery_1,charge,4.0,27.0,5.4
30,79.23,Battery_1,charge,4.0,36.0,7.2
31,74.7,Battery_1,charge,4.0,45.0,9.0
32,73.89,Battery_1,charge,4.0,54.0,10.8
33,73.52,Battery_1,charge,4.0,63.0,12.6
34,75.7,Battery_1,charge,4.0,72.0,14.4
35,81.98,Battery_1,charge,4.0,81.0,16.2
36,78.56,Battery_1,charge,4.0,90.0,18.0
37,89.72,Battery_1,hold,0.0,90.0,18.0
38,105.64,Battery_1,hold,0.0,90.0,18.0
39,115.0,Battery_1,discharge,4.0,78.9,15.78
40,122.44,Battery_1,discharge,4.0,67.8,13.56
41,122.18,Battery_1,discharge,4.0,56.7,11.33
42,121.42,Battery_1,discharge,4.0,45.6,9.11
43,117.46,Battery_1,discharge,4.0,34.4,6.89
44,121.08,Battery_1,discharge,4.0,23.3,4.67
45,117.28,Battery_1,discharge,4.0,12.2,2.44
46,109.2,Battery_1,hold,0.0,12.2,2.44
47,109.91,Battery_1,discharge,0.8,10.0,2.0
48,109.82,Battery_1,hold,0.0,10.0,2.0
1,107.43,Battery_2,hold,0.0,50.0,50.0
2,104.79,Battery_2,hold,0.0,50.0,50.0
3,104.56,Battery_2,hold,0.0,50.0,50.0
4,107.23,Battery_2,hold,0.0,50.0,50.0
5,108.53,Battery_2,hold,0.0,50.0,50.0
6,103.1,Battery_2,hold,0.0,50.0,50.0
7,102.75,Battery_2,hold,0.0,50.0,50.0
8,104.78,Battery_2,hold,0.0,50.0,50.0
9,104.49,Battery_2,hold,0.0,50.0,50.0
10,101.26,Battery_2,hold,0.0,50.0,50.0
11,112.99,Battery_2,hold,0.0,50.0,50.0
12,118.32,Battery_2,discharge,12.5,43.1,43.06
13,116.54,Battery_2,discharge,12.5,36.1,36.11
14,122.37,Battery_2,discharge,12.5,29.2,29.17
15,123.19,Battery_2,discharge,12.5,22.2,22.22
16,115.92,Battery_2,discharge,12.5,15.3,15.28
17,114.96,Battery_2,discharge,9.5,10.0,10.0
18,112.04,Battery_2,hold,0.0,10.0,10.0
19,101.61,Battery_2,hold,0.0,10.0,10.0
20,101.86,Battery_2,hold,0.0,10.0,10.0
21,94.52,Battery_2,hold,0.0,10.0,10.0
22,100.45,Battery_2,hold,0.0,10.0,10.0
23,92.52,Battery_2,hold,0.0,10.0,10.0
24,86.62,Battery_2,charge,12.5,15.6,15.62
25,88.4,Battery_2,charge,12.5,21.2,21.25
26,88.48,Battery_2,hold,0.0,21.2,21.25
27,83.75,Battery_2,charge,12.5,26.9,26.88
28,85.01,Battery_2,charge,12.5,32.5,32.5
29,78.44,Battery_2,charge,12.5,38.1,38.12
30,79.23,Battery_2,charge,12.5,43.8,43.75
31,74.7,Battery_2,charge,12.5,49.4,49.38
32,73.89,Battery_2,charge,12.5,55.0,55.0
33,73.52,Battery_2,charge,12.5,60.6,60.62
34,75.7,Battery_2,charge,12.5,66.2,66.25
35,81.98,Battery_2,charge,12.5,71.9,71.88
36,78.56,Battery_2,charge,12.5,77.5,77.5
37,89.72,Battery_2,hold,0.0,77.5,77.5
38,105.64,Battery_2,hold,0.0,77.5,77.5
39,115.0,Battery_2,discharge,12.5,70.6,70.56
40,122.44,Battery_2,discharge,12.5,63.6,63.61
41,122.18,Battery_2,discharge,12.5,56.7,56.67
42,121.42,Battery_2,discharge,12.5,49.7,49.72
43,117.46,Battery_2,discharge,12.5,42.8,42.78
44,121.08,Battery_2,discharge,12.5,35.8,35.83
45,117.28,Battery_2,discharge,12.5,28.9,28.89
46,109.2,Battery_2,discharge,9.0,23.9,23.89
47,109.91,Battery_2,discharge,12.5,16.9,16.94
48,109.82,Battery_2,discharge,12.5,10.0,10.0
1,107.43,Battery_3,hold,0.0,50.0,100.0
2,104.79,Battery_3,hold,0.0,50.0,100.0
3,104.56,Battery_3,hold,0.0,50.0,100.0
4,107.23,Battery_3,hold,0.0,50.0,100.0
5,108.53,Battery_3,hold,0.0,50.0,100.0
6,103.1,Battery_3,hold,0.0,50.0,100.0
7,102.75,Battery_3,hold,0.0,50.0,100.0
8,104.78,Battery_3,hold,0.0,50.0,100.0
9,104.49,Battery_3,hold,0.0,50.0,100.0
10,101.26,Battery_3,hold,0.0,50.0,100.0
11,112.99,Battery_3,hold,0.0,50.0,100.0
12,118.32,Battery_3,discharge,25.0,43.1,86.11
13,116.54,Battery_3,discharge,25.0,36.1,72.22
14,122.37,Battery_3,discharge,25.0,29.2,58.33
15,123.19,Battery_3,discharge,25.0,22.2,44.44
16,115.92,Battery_3,discharge,25.0,15.3,30.56
17,114.96,Battery_3,discharge,19.0,10.0,20.0
18,112.04,Battery_3,hold,0.0,10.0,20.0
19,101.61,Battery_3,hold,0.0,10.0,20.0
20,101.86,Battery_3,hold,0.0,10.0,20.0
21,94.52,Battery_3,hold,0.0,10.0,20.0
22,100.45,Battery_3,hold,0.0,10.0,20.0
23,92.52,Battery_3,hold,0.0,10.0,20.0
24,86.62,Battery_3,charge,25.0,15.6,31.25
25,88.4,Battery_3,charge,25.0,21.2,42.5
26,88.48,Battery_3,hold,0.0,21.2,42.5
27,83.75,Battery_3,charge,25.0,26.9,53.75
28,85.01,Battery_3,charge,25.0,32.5,65.0
29,78.44,Battery_3,charge,25.0,38.1,76.25
30,79.23,Battery_3,charge,25.0,43.8,87.5
31,74.7,Battery_3,charge,25.0,49.4,98.75
32,73.89,Battery_3,charge,25.0,55.0,110.0
33,73.52,Battery_3,charge,25.0,60.6,121.25
34,75.7,Battery_3,charge,25.0,66.2,132.5
35,81.98,Battery_3,charge,25.0,71.9,143.75
36,78.56,Battery_3,charge,25.0,77.5,155.0
37,89.72,Battery_3,hold,0.0,77.5,155.0
38,105.64,Battery_3,hold,0.0,77.5,155.0
39,115.0,Battery_3,discharge,25.0,70.6,141.11
40,122.44,Battery_3,discharge,25.0,63.6,127.22
41,122.18,Battery_3,discharge,25.0,56.7,113.33
42,121.42,Battery_3,discharge,25.0,49.7,99.44
43,117.46,Battery_3,discharge,25.0,42.8,85.56
44,121.08,Battery_3,discharge,25.0,35.8,71.67
45,117.28,Battery_3,discharge,25.0,28.9,57.78
46,109.2,Battery_3,discharge,18.0,23.9,47.78
47,109.91,Battery_3,discharge,25.0,16.9,33.89
48,109.82,Battery_3,discharge,25.0,10.0,20.0
1,107.43,Battery_4,hold,0.0,50.0,40.0
2,104.79,Battery_4,hold,0.0,50.0,40.0
3,104.56,Battery_4,hold,0.0,50.0,40.0
4,107.23,Battery_4,hold,0.0,50.0,40.0
5,108.53,Battery_4,hold,0.0,50.0,40.0
6,103.1,Battery_4,hold,0.0,50.0,40.0
7,102.75,Battery_4,hold,0.0,50.0,40.0
8,104.78,Battery_4,hold,0.0,50.0,40.0
9,104.49,Battery_4,hold,0.0,50.0,40.0
10,101.26,Battery_4,hold,0.0,50.0,40.0
11,112.99,Battery_4,hold,0.0,50.0,40.0
12,118.32,Battery_4,discharge,10.0,43.1,34.44
13,116.54,Battery_4,discharge,10.0,36.1,28.89
14,122.37,Battery_4,discharge,10.0,29.2,23.33
15,123.19,Battery_4,discharge,10.0,22.2,17.78
16,115.92,Battery_4,discharge,10.0,15.3,12.22
17,114.96,Battery_4,discharge,7.6,10.0,8.0
18,112.04,Battery_4,hold,0.0,10.0,8.0
19,101.61,Battery_4,hold,0.0,10.0,8.0
20,101.86,Battery_4,hold,0.0,10.0,8.0
21,94.52,Battery_4,hold,0.0,10.0,8.0
22,100.45,Battery_4,hold,0.0,10.0,8.0
23,92.52,Battery_4,hold,0.0,10.0,8.0
24,86.62,Battery_4,charge,10.0,15.6,12.5
