settlement_period,price,asset,action,power_mw,soc,energy_mwh,settle_price
1,111.87348249460828,Battery_1,hold,0.0,50.0,10.0,181.44
2,109.15825948075417,Battery_1,hold,0.0,50.0,10.0,179.22
3,108.20078858487221,Battery_1,charge,4.0,59.0,11.8,166.28
4,109.21582666820723,Battery_1,hold,0.0,59.0,11.8,168.97
5,108.40068184282126,Battery_1,charge,1.78,63.0,12.6,181.17
6,106.14255350389564,Battery_1,charge,4.0,72.0,14.4,168.39
7,103.87414016936036,Battery_1,charge,4.0,81.0,16.2,165.93
8,102.95458054640848,Battery_1,charge,4.0,90.0,18.0,152.33
9,114.20262190615841,Battery_1,hold,0.0,90.0,18.0,171.23
10,116.86869224403515,Battery_1,hold,0.0,90.0,18.0,160.25
11,132.24929742944525,Battery_1,hold,0.0,90.0,18.0,153.22
12,139.082672039572,Battery_1,discharge,4.0,78.9,15.78,161.91
13,150.8822669602435,Battery_1,discharge,4.0,67.8,13.56,167.38
14,161.00593279227076,Battery_1,discharge,4.0,56.7,11.33,170.91
15,160.0974529531095,Battery_1,discharge,4.0,45.6,9.11,168.58
16,169.13211484191828,Battery_1,discharge,4.0,34.4,6.89,182.13
17,153.8310646698002,Battery_1,discharge,4.0,23.3,4.67,154.43
18,150.9185410311742,Battery_1,discharge,4.0,12.2,2.44,143.48
19,136.75360915086873,Battery_1,discharge,0.8,10.0,2.0,123.89
20,130.19826982409353,Battery_1,hold,0.0,10.0,2.0,105.96
21,123.52167148303342,Battery_1,hold,0.0,10.0,2.0,75.73
22,121.45449804710314,Battery_1,hold,0.0,10.0,2.0,60.18
23,110.3772537701499,Battery_1,charge,3.56,18.0,3.6,46.33
24,106.24225399980818,Battery_1,charge,4.0,27.0,5.4,49.12
25,104.06056717212637,Battery_1,charge,4.0,36.0,7.2,50.47
26,100.4143296434703,Battery_1,charge,4.0,45.0,9.0,64.15
27,98.00484844831348,Battery_1,charge,4.0,54.0,10.8,78.73
28,97.13503451181838,Battery_1,charge,4.0,63.0,12.6,79.15
29,98.83292622239335,Battery_1,charge,4.0,72.0,14.4,87.64
30,95.04624644234302,Battery_1,charge,4.0,81.0,16.2,94.78
31,105.32021572763573,Battery_1,charge,4.0,90.0,18.0,150.13
32,114.73187871236559,Battery_1,hold,0.0,90.0,18.0,158.9
33,137.40577048873,Battery_1,hold,0.0,90.0,18.0,181.81
34,142.75991458097764,Battery_1,hold,0.0,90.0,18.0,174.67
35,170.64183973088956,Battery_1,discharge,0.8,87.8,17.56,194.58
36,175.6021392320136,Battery_1,discharge,4.0,76.7,15.33,201.73
37,189.7225964138469,Battery_1,discharge,4.0,65.6,13.11,202.78
