startTime,dataProvider,settlementDate,settlementPeriod,price,volume
2025-01-09T00:00:00Z,APXMIDP,2025-01-09,1,118.32,1550.35
2025-01-09T00:30:00Z,APXMIDP,2025-01-09,2,122.38,2134.9
2025-01-09T01:00:00Z,APXMIDP,2025-01-09,3,124.44,1905.6
2025-01-09T01:30:00Z,APXMIDP,2025-01-09,4,113.16,2145.55
2025-01-09T02:00:00Z,APXMIDP,2025-01-09,5,109.92,2036.5
2025-01-09T02:30:00Z,APXMIDP,2025-01-09,6,105.63,1938.0
2025-01-09T03:00:00Z,APXMIDP,2025-01-09,7,97.79,1444.55
2025-01-09T03:30:00Z,APXMIDP,2025-01-09,8,89.1,1674.7
2025-01-09T04:00:00Z,APXMIDP,2025-01-09,9,96.21,1781.9
2025-01-09T04:30:00Z,APXMIDP,2025-01-09,10,94.42,2164.35
2025-01-09T05:00:00Z,APXMIDP,2025-01-09,11,90.07,1910.0
2025-01-09T05:30:00Z,APXMIDP,2025-01-09,12,91.07,2501.9
2025-01-09T06:00:00Z,APXMIDP,2025-01-09,13,100.93,2532.55
2025-01-09T06:30:00Z,APXMIDP,2025-01-09,14,97.84,2128.3
2025-01-09T07:00:00Z,APXMIDP,2025-01-09,15,112.9,2598.1
2025-01-09T07:30:00Z,APXMIDP,2025-01-09,16,125.81,2603.45
2025-01-09T08:00:00Z,APXMIDP,2025-01-09,17,127.75,2457.7
2025-01-09T08:30:00Z,APXMIDP,2025-01-09,18,130.28,2839.95
2025-01-09T09:00:00Z,APXMIDP,2025-01-09,19,134.84,3362.65
2025-01-09T09:30:00Z,APXMIDP,2025-01-09,20,135.05,3195.45
2025-01-09T10:00:00Z,APXMIDP,2025-01-09,21,132.7,3262.55
2025-01-09T10:30:00Z,APXMIDP,2025-01-09,22,125.96,3232.3
2025-01-09T11:00:00Z,APXMIDP,2025-01-09,23,117.69,3107.9
2025-01-09T11:30:00Z,APXMIDP,2025-01-09,24,118.48,3010.6
2025-01-09T12:00:00Z,APXMIDP,2025-01-09,25,115.87,3354.0
2025-01-09T12:30:00Z,APXMIDP,2025-01-09,26,114.18,3006.2
2025-01-09T13:00:00Z,APXMIDP,2025-01-09,27,110.3,2996.0
2025-01-09T13:30:00Z,APXMIDP,2025-01-09,28,107.46,3120.9
2025-01-09T14:00:00Z,APXMIDP,2025-01-09,29,106.37,3434.7
2025-01-09T14:30:00Z,APXMIDP,2025-01-09,30,105.52,3366.7
2025-01-09T15:00:00Z,APXMIDP,2025-01-09,31,103.16,2448.2
2025-01-09T15:30:00Z,APXMIDP,2025-01-09,32,109.62,3133.55
2025-01-09T16:00:00Z,APXMIDP,2025-01-09,33,110.26,3059.45
2025-01-09T16:30:00Z,APXMIDP,2025-01-09,34,111.73,3931.4
2025-01-09T17:00:00Z,APXMIDP,2025-01-09,35,101.55,3685.85
2025-01-09T17:30:00Z,APXMIDP,2025-01-09,36,106.49,4024.9
2025-01-09T18:00:00Z,APXMIDP,2025-01-09,37,112.44,4277.0
2025-01-09T18:30:00Z,APXMIDP,2025-01-09,38,108.97,3795.85
2025-01-09T19:00:00Z,APXMIDP,2025-01-09,39,99.34,2591.2
2025-01-09T19:30:00Z,APXMIDP,2025-01-09,40,94.29,2644.65
2025-01-09T20:00:00Z,APXMIDP,2025-01-09,41,94.01,2760.35
2025-01-09T20:30:00Z,APXMIDP,2025-01-09,42,94.2,3619.4
2025-01-09T21:00:00Z,APXMIDP,2025-01-09,43,84.06,2442.5
2025-01-09T21:30:00Z,APXMIDP,2025-01-09,44,88.77,3309.25
2025-01-09T22:00:00Z,APXMIDP,2025-01-09,45,86.47,3615.55
2025-01-09T22:30:00Z,APXMIDP,2025-01-09,46,80.44,3067.0
2025-01-09T23:00:00Z,APXMIDP,2025-01-09,47,72.56,1524.5
2025-01-09T23:30:00Z,APXMIDP,2025-01-09,48,76.69,1692.4
