settlement_period,price,asset,action,power_mw,soc
1,91.83,Battery_1,discharge,10.0,22.2
1,91.83,Battery_2,discharge,25.0,36.1
1,91.83,Battery_3,discharge,50.0,36.1
1,91.83,Battery_4,discharge,20.0,36.1
1,91.83,Battery_5,discharge,40.0,36.1
2,88.86,Battery_1,discharge,4.4,10.0
2,88.86,Battery_2,discharge,25.0,22.2
2,88.86,Battery_3,discharge,50.0,22.2
2,88.86,Battery_4,discharge,20.0,22.2
2,88.86,Battery_5,discharge,40.0,22.2
3,59.11,Battery_1,hold,0.0,10.0
3,59.11,Battery_2,hold,0.0,22.2
3,59.11,Battery_3,hold,0.0,22.2
3,59.11,Battery_4,hold,0.0,22.2
3,59.11,Battery_5,hold,0.0,22.2
4,54.33,Battery_1,hold,0.0,10.0
4,54.33,Battery_2,hold,0.0,22.2
4,54.33,Battery_3,hold,0.0,22.2
4,54.33,Battery_4,hold,0.0,22.2
4,54.33,Battery_5,hold,0.0,22.2
5,55.21,Battery_1,hold,0.0,10.0
5,55.21,Battery_2,hold,0.0,22.2
5,55.21,Battery_3,hold,0.0,22.2
5,55.21,Battery_4,hold,0.0,22.2
5,55.21,Battery_5,hold,0.0,22.2
6,61.3,Battery_1,hold,0.0,10.0
6,61.3,Battery_2,hold,0.0,22.2
6,61.3,Battery_3,hold,0.0,22.2
6,61.3,Battery_4,hold,0.0,22.2
6,61.3,Battery_5,hold,0.0,22.2
7,66.05,Battery_1,hold,0.0,10.0
7,66.05,Battery_2,hold,0.0,22.2
7,66.05,Battery_3,hold,0.0,22.2
7,66.05,Battery_4,hold,0.0,22.2
7,66.05,Battery_5,hold,0.0,22.2
8,63.72,Battery_1,hold,0.0,10.0
8,63.72,Battery_2,hold,0.0,22.2
8,63.72,Battery_3,hold,0.0,22.2
8,63.72,Battery_4,hold,0.0,22.2
8,63.72,Battery_5,hold,0.0,22.2
9,66.48,Battery_1,hold,0.0,10.0
9,66.48,Battery_2,hold,0.0,22.2
9,66.48,Battery_3,hold,0.0,22.2
9,66.48,Battery_4,hold,0.0,22.2
9,66.48,Battery_5,hold,0.0,22.2
10,62.11,Battery_1,hold,0.0,10.0
10,62.11,Battery_2,hold,0.0,22.2
10,62.11,Battery_3,hold,0.0,22.2
10,62.11,Battery_4,hold,0.0,22.2
10,62.11,Battery_5,hold,0.0,22.2
11,78.03,Battery_1,hold,0.0,10.0
11,78.03,Battery_2,discharge,22.000000000000004,10.0
11,78.03,Battery_3,discharge,44.00000000000001,10.0
11,78.03,Battery_4,discharge,17.6,10.0
11,78.03,Battery_5,discharge,35.2,10.0
12,86.56,Battery_1,hold,0.0,10.0
12,86.56,Battery_2,discharge,2.4980018054066022e-15,10.0
12,86.56,Battery_3,discharge,4.9960036108132044e-15,10.0
12,86.56,Battery_4,hold,0.0,10.0
12,86.56,Battery_5,hold,0.0,10.0
13,105.82,Battery_1,hold,0.0,10.0
13,105.82,Battery_2,hold,0.0,10.0
13,105.82,Battery_3,hold,0.0,10.0
13,105.82,Battery_4,hold,0.0,10.0
13,105.82,Battery_5,hold,0.0,10.0
14,107.78,Battery_1,hold,0.0,10.0
14,107.78,Battery_2,hold,0.0,10.0
14,107.78,Battery_3,hold,0.0,10.0
14,107.78,Battery_4,hold,0.0,10.0
14,107.78,Battery_5,hold,0.0,10.0
15,98.63,Battery_1,hold,0.0,10.0
15,98.63,Battery_2,hold,0.0,10.0
15,98.63,Battery_3,hold,0.0,10.0
15,98.63,Battery_4,hold,0.0,10.0
15,98.63,Battery_5,hold,0.0,10.0
16,100.03,Battery_1,hold,0.0,10.0
16,100.03,Battery_2,hold,0.0,10.0
16,100.03,Battery_3,hold,0.0,10.0
16,100.03,Battery_4,hold,0.0,10.0
16,100.03,Battery_5,hold,0.0,10.0
17,101.01,Battery_1,hold,0.0,10.0
17,101.01,Battery_2,hold,0.0,10.0
17,101.01,Battery_3,hold,0.0,10.0
17,101.01,Battery_4,hold,0.0,10.0
17,101.01,Battery_5,hold,0.0,10.0
18,97.4,Battery_1,hold,0.0,10.0
18,97.4,Battery_2,hold,0.0,10.0
18,97.4,Battery_3,hold,0.0,10.0
18,97.4,Battery_4,hold,0.0,10.0
18,97.4,Battery_5,hold,0.0,10.0
19,65.4,Battery_1,hold,0.0,10.0
19,65.4,Battery_2,hold,0.0,10.0
19,65.4,Battery_3,hold,0.0,10.0
19,65.4,Battery_4,hold,0.0,10.0
19,65.4,Battery_5,hold,0.0,10.0
20,28.73,Battery_1,hold,0.0,10.0
20,28.73,Battery_2,hold,0.0,10.0
20,28.73,Battery_3,hold,0.0,10.0
20,28.73,Battery_4,hold,0.0,10.0
20,28.73,Battery_5,hold,0.0,10.0
21,17.73,Battery_1,charge,10.0,32.5
21,17.73,Battery_2,charge,25.0,21.2
21,17.73,Battery_3,charge,50.0,21.2
21,17.73,Battery_4,charge,20.0,21.2
21,17.73,Battery_5,charge,40.0,21.2
22,1.55,Battery_1,charge,10.0,55.0
