settlement_period,price,asset,action,power_mw,soc,reserved_capacity_pct,market_price,revenue,cost,net_pnl
1,14.95,Battery_1,hold,0.0,50.0,50.0,14.95,0.0,0.0,0.0
1,14.95,Battery_2,hold,0.0,50.0,30.0,14.95,0.0,0.0,0.0
1,14.95,Battery_3,hold,0.0,50.0,30.0,14.95,0.0,0.0,0.0
1,14.95,Battery_4,hold,0.0,50.0,30.0,14.95,0.0,0.0,0.0
1,14.95,Battery_5,hold,0.0,50.0,30.0,14.95,0.0,0.0,0.0
2,13.23,Battery_1,hold,0.0,50.0,50.0,13.23,0.0,0.0,0.0
2,13.23,Battery_2,hold,0.0,50.0,30.0,13.23,0.0,0.0,0.0
2,13.23,Battery_3,hold,0.0,50.0,30.0,13.23,0.0,0.0,0.0
2,13.23,Battery_4,hold,0.0,50.0,30.0,13.23,0.0,0.0,0.0
2,13.23,Battery_5,hold,0.0,50.0,30.0,13.23,0.0,0.0,0.0
3,4.33,Battery_1,hold,0.0,50.0,50.0,4.33,0.0,0.0,0.0
3,4.33,Battery_2,hold,0.0,50.0,30.0,4.33,0.0,0.0,0.0
3,4.33,Battery_3,hold,0.0,50.0,30.0,4.33,0.0,0.0,0.0
3,4.33,Battery_4,hold,0.0,50.0,30.0,4.33,0.0,0.0,0.0
3,4.33,Battery_5,hold,0.0,50.0,30.0,4.33,0.0,0.0,0.0
4,0.21,Battery_1,hold,0.0,50.0,50.0,0.21,0.0,0.0,0.0
4,0.21,Battery_2,hold,0.0,50.0,30.0,0.21,0.0,0.0,0.0
4,0.21,Battery_3,hold,0.0,50.0,30.0,0.21,0.0,0.0,0.0
4,0.21,Battery_4,hold,0.0,50.0,30.0,0.21,0.0,0.0,0.0
4,0.21,Battery_5,hold,0.0,50.0,30.0,0.21,0.0,0.0,0.0
5,-1.09,Battery_1,hold,0.0,50.0,50.0,-1.09,0.0,0.0,0.0
5,-1.09,Battery_2,hold,0.0,50.0,30.0,-1.09,0.0,0.0,0.0
5,-1.09,Battery_3,hold,0.0,50.0,30.0,-1.09,0.0,0.0,0.0
5,-1.09,Battery_4,hold,0.0,50.0,30.0,-1.09,0.0,0.0,0.0
5,-1.09,Battery_5,hold,0.0,50.0,30.0,-1.09,0.0,0.0,0.0
6,-4.46,Battery_1,hold,0.0,50.0,50.0,-4.46,0.0,0.0,0.0
6,-4.46,Battery_2,hold,0.0,50.0,30.0,-4.46,0.0,0.0,0.0
6,-4.46,Battery_3,hold,0.0,50.0,30.0,-4.46,0.0,0.0,0.0
6,-4.46,Battery_4,hold,0.0,50.0,30.0,-4.46,0.0,0.0,0.0
6,-4.46,Battery_5,hold,0.0,50.0,30.0,-4.46,0.0,0.0,0.0
7,-12.07,Battery_1,charge,5.0,61.3,50.0,-12.07,0.0,-30.175,30.175
7,-12.07,Battery_2,charge,17.5,57.9,30.0,-12.07,0.0,-105.6125,105.6125
7,-12.07,Battery_3,charge,35.0,57.9,30.0,-12.07,0.0,-211.225,211.225
7,-12.07,Battery_4,charge,14.0,57.9,30.0,-12.07,0.0,-84.49000000000001,84.49000000000001
7,-12.07,Battery_5,charge,28.0,57.9,30.0,-12.07,0.0,-168.98000000000002,168.98000000000002
8,-13.31,Battery_1,charge,5.0,72.5,50.0,-13.31,0.0,-33.275,33.275
8,-13.31,Battery_2,charge,17.5,65.8,30.0,-13.31,0.0,-116.4625,116.4625
8,-13.31,Battery_3,charge,35.0,65.8,30.0,-13.31,0.0,-232.925,232.925
8,-13.31,Battery_4,charge,14.0,65.8,30.0,-13.31,0.0,-93.17,93.17
8,-13.31,Battery_5,charge,28.0,65.8,30.0,-13.31,0.0,-186.34,186.34
9,-12.3,Battery_1,charge,3.89,81.2,50.0,-12.3,0.0,-23.9235,23.9235
9,-12.3,Battery_2,charge,17.5,73.6,30.0,-12.3,0.0,-107.625,107.625
9,-12.3,Battery_3,charge,35.0,73.6,30.0,-12.3,0.0,-215.25,215.25
9,-12.3,Battery_4,charge,14.0,73.6,30.0,-12.3,0.0,-86.10000000000001,86.10000000000001
9,-12.3,Battery_5,charge,28.0,73.6,30.0,-12.3,0.0,-172.20000000000002,172.20000000000002
10,-8.82,Battery_1,hold,0.0,81.2,50.0,-8.82,0.0,0.0,0.0
10,-8.82,Battery_2,hold,0.0,73.6,30.0,-8.82,0.0,0.0,0.0
10,-8.82,Battery_3,hold,0.0,73.6,30.0,-8.82,0.0,0.0,0.0
10,-8.82,Battery_4,hold,0.0,73.6,30.0,-8.82,0.0,0.0,0.0
10,-8.82,Battery_5,hold,0.0,73.6,30.0,-8.82,0.0,0.0,0.0
11,-6.42,Battery_1,hold,0.0,81.2,50.0,-6.42,0.0,0.0,0.0
11,-6.42,Battery_2,hold,0.0,73.6,30.0,-6.42,0.0,0.0,0.0
11,-6.42,Battery_3,hold,0.0,73.6,30.0,-6.42,0.0,0.0,0.0
11,-6.42,Battery_4,hold,0.0,73.6,30.0,-6.42,0.0,0.0,0.0
11,-6.42,Battery_5,hold,0.0,73.6,30.0,-6.42,0.0,0.0,0.0
12,-4.02,Battery_1,hold,0.0,81.2,50.0,-4.02,0.0,0.0,0.0
12,-4.02,Battery_2,hold,0.0,73.6,30.0,-4.02,0.0,0.0,0.0
12,-4.02,Battery_3,hold,0.0,73.6,30.0,-4.02,0.0,0.0,0.0
12,-4.02,Battery_4,hold,0.0,73.6,30.0,-4.02,0.0,0.0,0.0
12,-4.02,Battery_5,hold,0.0,73.6,30.0,-4.02,0.0,0.0,0.0
13,-1.68,Battery_1,hold,0.0,81.2,50.0,-1.68,0.0,0.0,0.0
13,-1.68,Battery_2,hold,0.0,73.6,30.0,-1.68,0.0,0.0,0.0
13,-1.68,Battery_3,hold,0.0,73.6,30.0,-1.68,0.0,0.0,0.0
13,-1.68,Battery_4,hold,0.0,73.6,30.0,-1.68,0.0,0.0,0.0
13,-1.68,Battery_5,hold,0.0,73.6,30.0,-1.68,0.0,0.0,0.0
14,-4.25,Battery_1,hold,0.0,81.2,50.0,-4.25,0.0,0.0,0.0
14,-4.25,Battery_2,hold,0.0,73.6,30.0,-4.25,0.0,0.0,0.0
14,-4.25,Battery_3,hold,0.0,73.6,30.0,-4.25,0.0,0.0,0.0
14,-4.25,Battery_4,hold,0.0,73.6,30.0,-4.25,0.0,0.0,0.0
14,-4.25,Battery_5,hold,0.0,73.6,30.0,-4.25,0.0,0.0,0.0
15,7.59,Battery_1,hold,0.0,81.2,50.0,7.59,0.0,0.0,0.0
15,7.59,Battery_2,hold,0.0,73.6,30.0,7.59,0.0,0.0,0.0
15,7.59,Battery_3,hold,0.0,73.6,30.0,7.59,0.0,0.0,0.0
15,7.59,Battery_4,hold,0.0,73.6,30.0,7.59,0.0,0.0,0.0
15,7.59,Battery_5,hold,0.0,73.6,30.0,7.59,0.0,0.0,0.0
16,11.74,Battery_1,hold,0.0,81.2,50.0,11.74,0.0,0.0,0.0
16,11.74,Battery_2,hold,0.0,73.6,30.0,11.74,0.0,0.0,0.0
16,11.74,Battery_3,hold,0.0,73.6,30.0,11.74,0.0,0.0,0.0
16,11.74,Battery_4,hold,0.0,73.6,30.0,11.74,0.0,0.0,0.0
16,11.74,Battery_5,hold,0.0,73.6,30.0,11.74,0.0,0.0,0.0
17,11.08,Battery_1,hold,0.0,81.2,50.0,11.08,0.0,0.0,0.0
17,11.08,Battery_2,hold,0.0,73.6,30.0,11.08,0.0,0.0,0.0
17,11.08,Battery_3,hold,0.0,73.6,30.0,11.08,0.0,0.0,0.0
17,11.08,Battery_4,hold,0.0,73.6,30.0,11.08,0.0,0.0,0.0
17,11.08,Battery_5,hold,0.0,73.6,30.0,11.08,0.0,0.0,0.0
18,11.93,Battery_1,hold,0.0,81.2,50.0,11.93,0.0,0.0,0.0
18,11.93,Battery_2,hold,0.0,73.6,30.0,11.93,0.0,0.0,0.0
18,11.93,Battery_3,hold,0.0,73.6,30.0,11.93,0.0,0.0,0.0
18,11.93,Battery_4,hold,0.0,73.6,30.0,11.93,0.0,0.0,0.0
18,11.93,Battery_5,hold,0.0,73.6,30.0,11.93,0.0,0.0,0.0
19,-1.59,Battery_1,hold,0.0,81.2,50.0,-1.59,0.0,0.0,0.0
19,-1.59,Battery_2,hold,0.0,73.6,30.0,-1.59,0.0,0.0,0.0
19,-1.59,Battery_3,hold,0.0,73.6,30.0,-1.59,0.0,0.0,0.0
19,-1.59,Battery_4,hold,0.0,73.6,30.0,-1.59,0.0,0.0,0.0
19,-1.59,Battery_5,hold,0.0,73.6,30.0,-1.59,0.0,0.0,0.0
20,-3.19,Battery_1,hold,0.0,81.2,50.0,-3.19,0.0,0.0,0.0
20,-3.19,Battery_2,hold,0.0,73.6,30.0,-3.19,0.0,0.0,0.0
20,-3.19,Battery_3,hold,0.0,73.6,30.0,-3.19,0.0,0.0,0.0
20,-3.19,Battery_4,hold,0.0,73.6,30.0,-3.19,0.0,0.0,0.0
20,-3.19,Battery_5,hold,0.0,73.6,30.0,-3.19,0.0,0.0,0.0
21,-5.16,Battery_1,hold,0.0,81.2,50.0,-5.16,0.0,0.0,0.0
21,-5.16,Battery_2,hold,0.0,73.6,30.0,-5.16,0.0,0.0,0.0
21,-5.16,Battery_3,hold,0.0,73.6,30.0,-5.16,0.0,0.0,0.0
21,-5.16,Battery_4,hold,0.0,73.6,30.0,-5.16,0.0,0.0,0.0
21,-5.16,Battery_5,hold,0.0,73.6,30.0,-5.16,0.0,0.0,0.0
22,-6.73,Battery_1,hold,0.0,81.2,50.0,-6.73,0.0,0.0,0.0
22,-6.73,Battery_2,hold,0.0,73.6,30.0,-6.73,0.0,0.0,0.0
22,-6.73,Battery_3,hold,0.0,73.6,30.0,-6.73,0.0,0.0,0.0
22,-6.73,Battery_4,hold,0.0,73.6,30.0,-6.73,0.0,0.0,0.0
22,-6.73,Battery_5,hold,0.0,73.6,30.0,-6.73,0.0,0.0,0.0
23,-15.8,Battery_1,charge,1.94,85.6,50.0,-15.8,0.0,-15.326,15.326
23,-15.8,Battery_2,charge,17.5,81.5,30.0,-15.8,0.0,-138.25,138.25
23,-15.8,Battery_3,charge,35.0,81.5,30.0,-15.8,0.0,-276.5,276.5
