startTime,dataProvider,settlementDate,settlementPeriod,price,volume
2025-05-15T23:00:00Z,APXMIDP,2025-05-16,1,66.81,1320.35
2025-05-15T23:30:00Z,APXMIDP,2025-05-16,2,67.32,1425.75
2025-05-15T00:00:00Z,APXMIDP,2025-05-15,3,67.85,1314.4
2025-05-15T00:30:00Z,APXMIDP,2025-05-15,4,73.68,1775.9
2025-05-15T01:00:00Z,APXMIDP,2025-05-15,5,77.35,1486.45
2025-05-15T01:30:00Z,APXMIDP,2025-05-15,6,78.82,1724.8
2025-05-15T02:00:00Z,APXMIDP,2025-05-15,7,73.5,1489.85
2025-05-15T02:30:00Z,APXMIDP,2025-05-15,8,75.71,1872.0
2025-05-15T03:00:00Z,APXMIDP,2025-05-15,9,76.11,1583.0
2025-05-15T03:30:00Z,APXMIDP,2025-05-15,10,69.92,1840.55
2025-05-15T04:00:00Z,APXMIDP,2025-05-15,11,67.65,1610.5
2025-05-15T04:30:00Z,APXMIDP,2025-05-15,12,67.86,2381.5
2025-05-15T05:00:00Z,APXMIDP,2025-05-15,13,70.65,2397.2
2025-05-15T05:30:00Z,APXMIDP,2025-05-15,14,72.51,1921.1
2025-05-15T06:00:00Z,APXMIDP,2025-05-15,15,77.55,2419.35
2025-05-15T06:30:00Z,APXMIDP,2025-05-15,16,91.1,2497.05
2025-05-15T07:00:00Z,APXMIDP,2025-05-15,17,83.66,2754.0
2025-05-15T07:30:00Z,APXMIDP,2025-05-15,18,78.34,3031.2
2025-05-15T08:00:00Z,APXMIDP,2025-05-15,19,78.65,3084.05
2025-05-15T08:30:00Z,APXMIDP,2025-05-15,20,79.51,3015.05
2025-05-15T09:00:00Z,APXMIDP,2025-05-15,21,78.79,3504.85
2025-05-15T09:30:00Z,APXMIDP,2025-05-15,22,81.86,3081.1
2025-05-15T10:00:00Z,APXMIDP,2025-05-15,23,88.25,3825.75
2025-05-15T10:30:00Z,APXMIDP,2025-05-15,24,89.32,3243.0
2025-05-15T11:00:00Z,APXMIDP,2025-05-15,25,93.46,3663.35
2025-05-15T11:30:00Z,APXMIDP,2025-05-15,26,91.98,3828.2
2025-05-15T12:00:00Z,APXMIDP,2025-05-15,27,90.73,3487.4
2025-05-15T12:30:00Z,APXMIDP,2025-05-15,28,89.61,3417.9
2025-05-15T13:00:00Z,APXMIDP,2025-05-15,29,89.44,3468.0
2025-05-15T13:30:00Z,APXMIDP,2025-05-15,30,88.55,3920.9
2025-05-15T14:00:00Z,APXMIDP,2025-05-15,31,88.67,2776.0
2025-05-15T14:30:00Z,APXMIDP,2025-05-15,32,88.94,3334.8
2025-05-15T15:00:00Z,APXMIDP,2025-05-15,33,86.62,2899.15
2025-05-15T15:30:00Z,APXMIDP,2025-05-15,34,86.78,3599.15
2025-05-15T16:00:00Z,APXMIDP,2025-05-15,35,94.16,3260.25
2025-05-15T16:30:00Z,APXMIDP,2025-05-15,36,98.67,3373.15
2025-05-15T17:00:00Z,APXMIDP,2025-05-15,37,97.8,3165.7
2025-05-15T17:30:00Z,APXMIDP,2025-05-15,38,102.42,3036.8
2025-05-15T18:00:00Z,APXMIDP,2025-05-15,39,110.98,2653.5
2025-05-15T18:30:00Z,APXMIDP,2025-05-15,40,111.4,2374.15
2025-05-15T19:00:00Z,APXMIDP,2025-05-15,41,113.24,2749.1
2025-05-15T19:30:00Z,APXMIDP,2025-05-15,42,113.68,2847.85
2025-05-15T20:00:00Z,APXMIDP,2025-05-15,43,108.38,2743.85
2025-05-15T20:30:00Z,APXMIDP,2025-05-15,44,103.0,2657.25
2025-05-15T21:00:00Z,APXMIDP,2025-05-15,45,96.47,2247.0
2025-05-15T21:30:00Z,APXMIDP,2025-05-15,46,81.7,2414.55
2025-05-15T22:00:00Z,APXMIDP,2025-05-15,47,73.12,1920.0
2025-05-15T22:30:00Z,APXMIDP,2025-05-15,48,69.93,2152.45
