settlementDate,settlementPeriod,solar_mw,wind_offshore_mw,wind_onshore_mw,wind_total_mw,renewable_total_mw
2025-02-10,1,0.0,9199.345,4937.257,14136.601999999999,14136.601999999999
2025-02-10,2,0.0,9199.345,4937.257,14136.601999999999,14136.601999999999
2025-02-10,3,0.0,9364.093,5044.347,14408.44,14408.44
2025-02-10,4,0.0,9364.093,5044.347,14408.44,14408.44
2025-02-10,5,0.0,9714.33,5164.673,14879.003,14879.003
2025-02-10,6,0.0,9714.33,5164.673,14879.003,14879.003
2025-02-10,7,0.0,9922.639,5238.386,15161.025,15161.025
2025-02-10,8,0.0,9922.639,5238.386,15161.025,15161.025
2025-02-10,9,0.0,10275.536,5404.848,15680.384,15680.384
2025-02-10,10,0.0,10275.536,5404.848,15680.384,15680.384
2025-02-10,11,0.0,10590.863,5581.813,16172.676,16172.676
2025-02-10,12,0.0,10590.863,5581.813,16172.676,16172.676
2025-02-10,13,0.0,10751.484,5773.715,16525.199,16525.199
2025-02-10,14,0.0,10751.484,5773.715,16525.199,16525.199
2025-02-10,15,0.0,10882.057,5961.037,16843.094,16843.094
2025-02-10,16,0.0,10882.057,5961.037,16843.094,16843.094
2025-02-10,17,76.0,10981.806,6044.122,17025.928,17101.928
2025-02-10,18,211.0,10981.806,6044.122,17025.928,17236.928
2025-02-10,19,411.0,10947.219,6028.756,16975.975,17386.975
2025-02-10,20,625.0,10947.219,6028.756,16975.975,17600.975
2025-02-10,21,802.0,10991.033,6105.609,17096.642,17898.642
2025-02-10,22,940.0,10991.033,6105.609,17096.642,18036.642
2025-02-10,23,1049.0,11154.334,6567.366,17721.7,18770.7
2025-02-10,24,1134.0,11154.334,6567.366,17721.7,18855.7
2025-02-10,25,1195.0,11281.947,6909.059,18191.006,19386.006
2025-02-10,26,1212.0,11281.947,6909.059,18191.006,19403.006
2025-02-10,27,1166.0,11210.457,6934.542,18144.999,19310.999
2025-02-10,28,1054.0,11210.457,6934.542,18144.999,19198.999
2025-02-10,29,883.0,11472.289,6781.579,18253.868000000002,19136.868000000002
2025-02-10,30,679.0,11472.289,6781.579,18253.868000000002,18932.868000000002
2025-02-10,31,472.0,11465.357,6420.771,17886.128,18358.128
2025-02-10,32,276.0,11465.357,6420.771,17886.128,18162.128
2025-02-10,33,106.0,11512.329,6077.72,17590.049,17696.049
2025-02-10,34,0.0,11512.329,6077.72,17590.049,17590.049
2025-02-10,35,0.0,11478.999,5942.823,17421.822,17421.822
2025-02-10,36,0.0,11478.999,5942.823,17421.822,17421.822
2025-02-10,37,0.0,11316.595,5899.591,17216.186,17216.186
2025-02-10,38,0.0,11316.595,5899.591,17216.186,17216.186
2025-02-10,39,0.0,11075.096,5908.753,16983.849,16983.849
2025-02-10,40,0.0,11075.096,5908.753,16983.849,16983.849
2025-02-10,41,0.0,10838.329,5897.017,16735.345999999998,16735.345999999998
2025-02-10,42,0.0,10838.329,5897.017,16735.345999999998,16735.345999999998
2025-02-10,43,0.0,10626.142,5758.142,16384.284,16384.284
2025-02-10,44,0.0,10626.142,5758.142,16384.284,16384.284
2025-02-10,45,0.0,10275.535,5547.162,15822.697,15822.697
2025-02-10,46,0.0,10275.535,5547.162,15822.697,15822.697
2025-02-10,47,0.0,9973.246,5449.18,15422.426,15422.426
2025-02-10,48,0.0,9973.246,5449.18,15422.426,15422.426
