date,method,mae,rmse,cheap_hits,peak_hits,n_periods,n_train_days,staleness_days
2024-08-04,naive,24.52,30.42,3,0,48,1,1
2024-08-04,mean_7,24.52,30.42,3,0,48,1,1
2024-08-04,mean_90,24.52,30.42,3,0,48,1,1
2024-08-04,weekday,24.52,30.42,3,0,48,1,1
2024-08-05,naive,41.31,46.43,0,0,48,1,1
2024-08-05,mean_7,33.1,39.68,0,0,48,2,1
2024-08-05,mean_90,33.1,39.68,0,0,48,2,1
2024-08-05,weekday,33.1,39.68,0,0,48,2,1
2024-08-06,naive,21.58,27.93,1,0,48,1,1
2024-08-06,mean_7,15.99,19.56,0,0,48,3,1
2024-08-06,mean_90,15.99,19.56,0,0,48,3,1
2024-08-06,weekday,21.58,27.93,1,0,48,1,1
2024-08-07,naive,14.04,17.96,2,0,48,1,1
2024-08-07,mean_7,8.59,11.19,3,2,48,4,1
2024-08-07,mean_90,8.59,11.19,3,2,48,4,1
2024-08-07,weekday,9.44,12.5,3,3,48,2,1
2024-08-08,naive,20.94,23.91,0,0,48,1,1
2024-08-08,mean_7,15.35,17.04,0,0,48,5,1
2024-08-08,mean_90,15.35,17.04,0,0,48,5,1
2024-08-08,weekday,18.33,22.57,0,0,48,3,1
2024-08-09,naive,52.74,60.27,0,0,48,1,1
2024-08-09,mean_7,44.29,49.51,0,2,48,6,1
2024-08-09,mean_90,44.29,49.51,0,2,48,6,1
2024-08-09,weekday,43.2,50.43,0,2,48,4,1
2024-08-10,naive,17.91,24.19,0,3,48,1,1
2024-08-10,mean_7,45.3,50.21,0,3,48,7,1
2024-08-10,mean_90,45.3,50.21,0,3,48,7,1
2024-08-10,weekday,52.09,58.58,0,1,48,2,1
2024-08-11,naive,63.27,68.19,0,1,48,1,1
2024-08-11,mean_7,27.11,31.65,0,1,48,7,1
2024-08-11,mean_90,24.68,29.5,0,1,48,8,1
2024-08-11,weekday,29.21,32.4,0,0,48,3,1
2024-08-12,naive,47.08,56.36,0,3,48,1,1
2024-08-12,mean_7,26.01,28.76,3,3,48,7,1
2024-08-12,mean_90,29.46,32.62,1,3,48,9,1
2024-08-12,weekday,26.88,29.62,2,3,48,5,1
2024-08-13,naive,41.44,55.0,0,0,48,1,1
2024-08-13,mean_7,26.8,34.86,0,0,48,7,1
2024-08-13,mean_90,24.12,31.17,0,0,48,10,1
2024-08-13,weekday,26.91,36.82,0,0,48,6,1
2024-08-14,naive,16.23,19.98,0,1,48,1,1
2024-08-14,mean_7,24.76,28.18,0,0,48,7,1
2024-08-14,mean_90,20.26,23.13,0,0,48,11,1
2024-08-14,weekday,20.0,23.23,0,0,48,7,1
2024-08-15,naive,32.18,42.06,0,0,48,1,1
2024-08-15,mean_7,16.71,21.63,2,4,48,7,1
2024-08-15,mean_90,19.53,26.21,1,4,48,12,1
2024-08-15,weekday,21.55,28.45,0,4,48,7,1
2024-08-16,naive,26.82,35.26,1,2,48,1,1
2024-08-16,mean_7,22.82,26.31,1,2,48,7,1
2024-08-16,mean_90,16.65,19.13,1,2,48,13,1
2024-08-16,weekday,17.35,20.16,0,2,48,7,1
2024-08-17,naive,11.14,13.85,0,1,48,1,1
2024-08-17,mean_7,15.0,17.72,2,3,48,7,1
2024-08-17,mean_90,15.34,18.35,0,3,48,14,1
2024-08-17,weekday,17.25,21.69,0,3,48,4,1
2024-08-18,naive,15.64,20.07,2,3,48,1,1
2024-08-18,mean_7,11.19,13.72,3,4,48,7,1
2024-08-18,mean_90,11.22,13.61,3,3,48,15,1
2024-08-18,weekday,14.14,16.2,2,3,48,5,1
2024-08-19,naive,25.23,30.49,0,2,48,1,1
2024-08-19,mean_7,20.19,23.55,1,2,48,7,1
2024-08-19,mean_90,23.98,26.84,0,1,48,16,1
2024-08-19,weekday,24.61,27.67,1,1,48,7,1
2024-08-20,naive,31.81,38.6,0,2,48,1,1
2024-08-20,mean_7,21.03,27.86,0,4,48,7,1
2024-08-20,mean_90,19.12,22.63,0,4,48,17,1
2024-08-20,weekday,18.36,23.23,0,3,48,7,1
2024-08-21,naive,32.87,37.64,1,1,48,1,1
2024-08-21,mean_7,46.77,49.54,1,1,48,7,1
2024-08-21,mean_90,41.94,44.77,0,1,48,18,1
2024-08-21,weekday,45.57,48.52,2,1,48,7,1
2024-08-22,naive,30.21,38.09,0,1,48,1,1
2024-08-22,mean_7,41.74,48.35,0,3,48,7,1
2024-08-22,mean_90,41.88,47.11,0,2,48,19,1
2024-08-22,weekday,45.14,52.22,0,2,48,7,1
2024-08-23,naive,13.28,16.85,2,2,48,1,1
2024-08-23,mean_7,32.48,38.26,0,2,48,7,1
2024-08-23,mean_90,33.11,38.4,0,2,48,20,1
2024-08-23,weekday,32.0,37.13,0,2,48,7,1
2024-08-24,naive,45.56,50.56,0,0,48,1,1
2024-08-24,mean_7,27.17,31.25,0,0,48,7,1
2024-08-24,mean_90,24.76,30.05,1,0,48,21,1
2024-08-24,weekday,22.4,29.66,1,0,48,6,1
2024-08-25,naive,41.28,45.99,0,0,48,1,1
2024-08-25,mean_7,28.31,32.3,1,1,48,7,1
2024-08-25,mean_90,36.39,41.04,1,2,48,22,1
2024-08-25,weekday,39.25,44.38,1,2,48,7,1
2024-08-26,naive,46.15,49.88,0,1,48,1,1
2024-08-26,mean_7,26.63,29.58,0,3,48,7,1
2024-08-26,mean_90,14.53,17.85,0,3,48,23,1
2024-08-26,weekday,18.45,21.44,0,3,48,7,1
2024-08-27,naive,13.52,18.88,0,3,48,1,1
2024-08-27,mean_7,26.04,30.18,3,4,48,7,1
2024-08-27,mean_90,19.85,24.08,1,4,48,24,1
2024-08-27,weekday,18.78,22.13,2,3,48,7,1
2024-08-28,naive,36.61,45.87,0,0,48,1,1
2024-08-28,mean_7,52.88,57.36,0,0,48,7,1
2024-08-28,mean_90,35.54,38.48,0,0,48,25,1
2024-08-28,weekday,42.0,47.18,0,0,48,7,1
2024-08-29,naive,14.18,16.85,0,1,48,1,1
2024-08-29,mean_7,51.66,55.75,1,0,48,7,1
2024-08-29,mean_90,42.85,45.3,0,0,48,26,1
2024-08-29,weekday,49.8,53.74,1,0,48,7,1
2024-08-30,naive,13.9,16.97,0,2,48,1,1
2024-08-30,mean_7,28.18,31.45,0,0,48,7,1
2024-08-30,mean_90,28.04,30.69,0,0,48,27,1
2024-08-30,weekday,31.49,35.4,0,1,48,7,1
2024-08-31,naive,9.04,11.6,0,1,48,1,1
2024-08-31,mean_7,17.4,19.56,3,3,48,7,1
2024-08-31,mean_90,24.66,26.57,4,2,48,28,1
2024-08-31,weekday,33.78,35.64,3,2,48,7,1
2024-09-01,naive,18.24,24.79,4,3,48,1,1
2024-09-01,mean_7,13.81,16.15,2,3,48,7,1
2024-09-01,mean_90,18.26,20.24,4,3,48,29,1
2024-09-01,weekday,19.44,22.44,4,3,48,7,1
2024-09-02,naive,29.68,39.57,0,0,48,1,1
2024-09-02,mean_7,20.22,24.86,0,0,48,7,1
2024-09-02,mean_90,37.11,40.74,0,0,48,30,1
2024-09-02,weekday,33.57,39.69,0,0,48,7,1
2024-09-03,naive,10.06,12.86,0,1,48,1,1
2024-09-03,mean_7,9.4,11.73,0,2,48,7,1
2024-09-03,mean_90,29.04,31.41,0,1,48,31,1
2024-09-03,weekday,16.95,19.59,0,2,48,7,1
2024-09-03,regression,9.25,10.84,0,2,48,30,1
2024-09-03,reg_demand,15.88,17.52,0,2,48,30,1
2024-09-04,naive,6.71,7.92,0,3,48,1,1
2024-09-04,mean_7,5.8,7.18,1,2,48,7,1
2024-09-04,mean_90,26.49,28.7,1,0,48,32,1
2024-09-04,weekday,7.66,9.13,1,2,48,7,1
2024-09-04,regression,11.37,12.83,0,2,48,31,1
2024-09-04,reg_demand,19.75,21.75,0,2,48,31,1
2024-09-05,naive,10.09,13.47,1,2,48,1,1
2024-09-05,mean_7,10.08,13.52,0,4,48,7,1
2024-09-05,mean_90,21.25,24.09,0,2,48,33,1
2024-09-05,weekday,9.09,12.45,0,4,48,7,1
2024-09-05,regression,15.54,18.22,0,4,48,32,1
2024-09-05,reg_demand,9.83,12.74,0,4,48,32,1
2024-09-06,naive,11.06,15.49,1,4,48,1,1
2024-09-06,mean_7,8.42,11.12,0,4,48,7,1
2024-09-06,mean_90,29.22,31.61,0,2,48,34,1
2024-09-06,weekday,5.13,6.79,2,3,48,7,1
2024-09-06,regression,21.54,25.37,3,4,48,33,1
2024-09-06,reg_demand,13.99,17.11,4,4,48,33,1
2024-09-07,naive,9.97,11.96,2,4,48,1,1
2024-09-07,mean_7,13.07,16.41,0,4,48,7,1
2024-09-07,mean_90,32.14,35.62,0,2,48,35,1
2024-09-07,weekday,36.46,41.2,0,2,48,7,1
2024-09-07,regression,8.85,11.1,2,2,48,34,1
2024-09-07,reg_demand,11.02,12.33,0,4,48,34,1
2024-09-08,naive,10.97,13.83,0,2,48,1,1
2024-09-08,mean_7,5.62,6.88,2,2,48,7,1
2024-09-08,mean_90,23.8,26.31,3,1,48,36,1
2024-09-08,weekday,24.99,27.61,3,1,48,7,1
2024-09-08,regression,4.62,5.63,1,2,48,35,1
2024-09-08,reg_demand,7.25,8.85,2,2,48,35,1
2024-09-09,naive,9.5,11.78,1,1,48,1,1
2024-09-09,mean_7,9.4,11.88,0,0,48,7,1
2024-09-09,mean_90,20.14,22.26,2,0,48,37,1
2024-09-09,weekday,9.04,11.32,0,1,48,7,1
2024-09-09,regression,24.91,27.87,2,0,48,36,1
2024-09-09,reg_demand,21.48,23.76,0,0,48,36,1
