date,day_type,da_net,id_net,bm_net,total_revenue,total_cost,net_pnl
2026-06-22,🟡 amber,43112.58,9616.91,22989.72,153729.84,78010.63,75719.21
2026-07-29,🟡 amber,36074.56,3638.26,9058.22,110648.65,61877.61,48771.04
2026-06-15,🔴 red,28552.56,2942.78,14772.7,129120.0,82851.96,46268.03
2026-06-16,🟡 amber,35084.49,4665.41,13383.64,145762.52,92628.99,53133.53
2026-06-17,🟡 amber,32852.98,3583.69,6825.67,122174.57,78912.22,43262.35
2026-06-18,🔴 red,26483.47,1897.26,22760.83,124406.01,73264.45,51141.56
2026-06-19,🟡 amber,32196.25,5698.8,15952.17,123132.54,69285.32,53847.22
2026-06-20,🟡 amber,30766.7,3129.23,10455.46,123168.27,78816.89,44351.39
2026-06-21,🟡 amber,28186.25,2362.47,3078.15,107825.47,74198.6,33626.87
2026-06-23,🟡 amber,141765.3,50300.85,113123.93,416475.98,111285.9,305190.08
2026-06-24,🟡 amber,61658.78,15540.82,20358.63,191347.38,93789.15,97558.23
2026-06-25,🔴 red,26909.53,1241.75,10752.67,111651.68,72747.73,38903.95
2026-06-26,🟡 amber,40452.46,7112.57,17348.34,149164.47,84251.1,64913.37
2026-06-27,🟡 amber,43751.35,9980.57,27310.91,131473.65,50430.82,81042.83
2026-06-28,🟢 green,83894.79,28338.61,49314.75,138955.25,-22592.9,161548.15
2026-06-29,🟡 amber,39103.28,6793.45,20730.72,151613.72,84986.27,66627.45
2026-06-30,🟡 amber,35234.19,4913.48,14430.67,141913.86,87335.53,54578.33
2026-07-01,🟡 amber,26045.71,1320.55,5638.62,84118.56,51113.68,33004.88
2026-07-02,🟢 green,61892.75,20250.41,40908.86,130192.19,7140.16,123052.03
2026-07-03,🔴 red,27113.55,1095.45,13292.13,90221.31,48720.19,41501.12
2026-07-04,🟢 green,68948.61,22468.78,38620.18,130303.13,265.56,130037.57
2026-07-05,🟡 amber,32838.52,6119.13,17859.44,142391.41,85574.33,56817.08
2026-07-06,🟢 green,62998.87,17858.95,34358.25,128176.75,12960.68,115216.08
2026-07-07,🟡 amber,36115.49,5875.07,22772.53,163608.38,98845.29,64763.08
2026-07-08,🟡 amber,31840.9,2797.99,10723.25,119946.58,74584.44,45362.14
2026-07-09,🟡 amber,41350.57,6830.7,13250.75,157493.61,96061.58,61432.02
2026-07-10,🔴 red,30041.12,1439.16,10026.33,86940.38,45433.78,41506.6
2026-07-11,🔴 red,24988.3,56.72,5776.88,58192.93,27371.02,30821.91
2026-07-12,🟢 green,69611.08,21759.3,39115.59,129056.36,-1429.6,130485.97
2026-07-13,🟡 amber,41063.23,7220.36,17834.31,146294.7,80176.79,66117.9
2026-07-14,🟡 amber,50478.26,11039.22,33994.13,179518.58,84006.96,95511.61
2026-07-15,🟡 amber,40198.75,6160.03,11995.25,155914.88,97560.85,58354.03
