date,day_type,da_net,id_net,bm_net,total_revenue,total_cost,net_pnl
2026-05-24,🟡 amber,29510.83,3163.51,16641.27,105392.71,56077.1,49315.61
2026-05-25,🟡 amber,35612.66,5591.35,15482.26,129886.08,73199.82,56686.26
2026-05-26,🟡 amber,33342.98,3111.14,14467.49,139898.4,88976.79,50921.61
2026-05-27,🔴 red,30199.6,2754.97,15157.43,138875.91,90763.91,48112.0
2026-05-28,🟡 amber,51039.51,12753.38,32025.7,131736.75,35918.16,95818.59
2026-05-29,🟡 amber,31872.22,3846.15,14826.62,116888.85,66343.86,50544.99
2026-05-30,🔴 red,24729.31,594.93,7780.86,87650.36,54545.26,33105.1
2026-05-31,🟡 amber,29915.61,2974.31,14170.03,124630.98,77571.03,47059.95
2026-06-01,🟡 amber,30935.11,2964.54,17273.99,130180.68,79007.03,51173.64
2026-06-02,🔴 red,28806.76,1628.14,12163.83,145981.51,103382.78,42598.73
2026-06-03,🟡 amber,44654.1,8370.53,19409.54,137579.04,65144.87,72434.17
2026-06-04,🟢 green,58751.03,21050.56,38939.44,120592.19,1851.16,118741.03
2026-06-05,🟡 amber,32258.03,4555.22,12583.91,105653.49,56256.33,49397.15
2026-06-06,🟡 amber,49581.6,12794.33,21954.36,126119.93,41789.64,84330.29
2026-06-07,🟢 green,68080.35,25878.14,39645.12,120161.5,-13442.11,133603.61
2026-06-08,🔴 red,27378.59,1697.92,8118.01,85577.85,48383.33,37194.52
2026-06-09,🟡 amber,35580.59,5749.25,21491.97,133624.13,70802.31,62821.81
2026-06-10,🟡 amber,34785.12,5210.94,11440.48,140791.06,89354.52,51436.54
2026-06-11,🔴 red,27460.86,1345.78,8987.57,95600.58,57806.36,37794.21
2026-06-12,🟢 green,53593.51,12700.72,39708.57,147849.46,41846.66,106002.8
2026-06-13,🟢 green,48438.86,15728.94,30172.11,77329.73,-17010.18,94339.91
2026-06-14,🟢 green,53596.48,23999.13,42727.41,122476.76,2153.73,120323.03
2026-06-15,🔴 red,28552.56,2942.78,14772.7,129120.0,82851.96,46268.03
2026-06-16,🟡 amber,35084.49,4665.41,13383.64,145762.52,92628.99,53133.53
2026-06-17,🟡 amber,32852.98,3583.69,6825.67,122174.57,78912.22,43262.35
2026-06-18,🔴 red,26483.47,1897.26,22760.83,124406.01,73264.45,51141.56
2026-06-19,🟡 amber,32196.25,5698.8,15952.17,123132.54,69285.32,53847.22
2026-06-20,🟡 amber,30766.7,3129.23,10455.46,123168.27,78816.89,44351.39
2026-06-21,🟡 amber,28186.25,2362.47,3078.15,107825.47,74198.6,33626.87
2026-06-22,🟡 amber,43112.58,9616.91,22989.72,153729.84,78010.63,75719.21
