phase,class,da_pct,id_pct,bm_pct,days,net_pnl
pilot,4h,0.8,0.1,0.1,60,3620022.5438499996
pilot,4h,0.7,0.1,0.2,60,3901520.6278499993
pilot,4h,0.6,0.1,0.3,60,4142223.8590499987
pilot,4h,0.5,0.1,0.4,60,4346383.803050001
pilot,4h,0.4,0.1,0.5,60,4427566.809299998
pilot,4h,0.3,0.1,0.6,60,4374759.8550499985
pilot,4h,0.2,0.1,0.7,60,4237899.976849999
pilot,4h,0.1,0.1,0.8,60,3986122.24585
pilot,4h,0.7,0.2,0.1,60,3860258.9073999994
pilot,4h,0.6,0.2,0.2,60,4100955.1232499992
pilot,4h,0.5,0.2,0.3,60,4312567.747699999
pilot,4h,0.4,0.2,0.4,60,4459691.545499999
pilot,4h,0.3,0.2,0.5,60,4477298.08235
pilot,4h,0.2,0.2,0.6,60,4416838.525049999
pilot,4h,0.1,0.2,0.7,60,4178753.865249999
pilot,4h,0.6,0.3,0.1,60,4059702.8711
pilot,4h,0.5,0.3,0.2,60,4271308.4802
pilot,4h,0.4,0.3,0.3,60,4425884.958449999
pilot,4h,0.3,0.3,0.4,60,4509432.28685
pilot,4h,0.2,0.3,0.5,60,4519386.22065
pilot,4h,0.1,0.3,0.6,60,4357701.88175
pilot,4h,0.5,0.4,0.1,60,4227698.8003
pilot,4h,0.4,0.4,0.2,60,4382268.263199999
pilot,4h,0.3,0.4,0.3,60,4473268.27205
pilot,4h,0.2,0.4,0.4,60,4549162.997399999
pilot,4h,0.1,0.4,0.5,60,4457892.149599999
pilot,4h,0.4,0.5,0.1,60,4272456.550199998
pilot,4h,0.3,0.5,0.2,60,4363449.5437
pilot,4h,0.2,0.5,0.3,60,4446796.949499998
pilot,4h,0.1,0.5,0.4,60,4421466.89325
pilot,4h,0.3,0.6,0.1,60,4194355.630100001
pilot,4h,0.2,0.6,0.2,60,4277696.02055
pilot,4h,0.1,0.6,0.3,60,4259818.644750001
pilot,4h,0.2,0.7,0.1,60,4069831.1247
pilot,4h,0.1,0.7,0.2,60,4051946.733549998
pilot,4h,0.1,0.8,0.1,60,3813903.1977999997
validate,4h,0.5,0.2,0.3,650,29191239.649399973
validate,4h,0.2,0.4,0.4,650,31301156.85995
