phase,class,da_pct,id_pct,bm_pct,days,net_pnl
pilot,4h,0.8,0.1,0.1,60,3631105.510050001
pilot,4h,0.7,0.1,0.2,60,4033412.8194500003
pilot,4h,0.6,0.1,0.3,60,4398875.0150500005
pilot,4h,0.5,0.1,0.4,60,4736173.2919499995
pilot,4h,0.4,0.1,0.5,60,4963118.452950001
pilot,4h,0.3,0.1,0.6,60,5064429.033299999
pilot,4h,0.2,0.1,0.7,60,5098178.669299997
pilot,4h,0.1,0.1,0.8,60,4996724.0430000005
pilot,4h,0.7,0.2,0.1,60,3854490.08905
pilot,4h,0.6,0.2,0.2,60,4219938.133199999
pilot,4h,0.5,0.2,0.3,60,4559305.066249999
pilot,4h,0.4,0.2,0.4,60,4843326.513949999
pilot,4h,0.3,0.2,0.5,60,5013897.5423
pilot,4h,0.2,0.2,0.6,60,5101135.55665
pilot,4h,0.1,0.2,0.7,60,5032927.683799998
pilot,4h,0.6,0.3,0.1,60,4041024.7309
pilot,4h,0.5,0.3,0.2,60,4380377.512499999
pilot,4h,0.4,0.3,0.3,60,4666467.616349999
pilot,4h,0.3,0.3,0.4,60,4894114.9314
pilot,4h,0.2,0.3,0.5,60,5050613.393750001
pilot,4h,0.1,0.3,0.6,60,5035893.89925
pilot,4h,0.5,0.4,0.1,60,4199530.562349999
pilot,4h,0.4,0.4,0.2,60,4485606.514749999
pilot,4h,0.3,0.4,0.3,60,4715322.485950001
pilot,4h,0.2,0.4,0.4,60,4928897.234999999
pilot,4h,0.1,0.4,0.5,60,4983438.188500001
pilot,4h,0.4,0.5,0.1,60,4245076.580599999
pilot,4h,0.3,0.5,0.2,60,4474778.40035
pilot,4h,0.2,0.5,0.3,60,4690421.805549999
pilot,4h,0.1,0.5,0.4,60,4802039.0457500005
pilot,4h,0.3,0.6,0.1,60,4180449.845899999
pilot,4h,0.2,0.6,0.2,60,4396079.099649999
pilot,4h,0.1,0.6,0.3,60,4509764.995999998
pilot,4h,0.2,0.7,0.1,60,4066000.607449999
pilot,4h,0.1,0.7,0.2,60,4179672.3523500003
pilot,4h,0.1,0.8,0.1,60,3822322.3461499996
