settlementDate,settlementPeriod,startTime,createdDateTime,systemSellPrice,systemBuyPrice,bsadDefaulted,priceDerivationCode,reserveScarcityPrice,netImbalanceVolume,sellPriceAdjustment,buyPriceAdjustment,replacementPrice,replacementPriceReferenceVolume,totalAcceptedOfferVolume,totalAcceptedBidVolume,totalAdjustmentSellVolume,totalAdjustmentBuyVolume,totalSystemTaggedAcceptedOfferVolume,totalSystemTaggedAcceptedBidVolume,totalSystemTaggedAdjustmentSellVolume,totalSystemTaggedAdjustmentBuyVolume
2026-02-02,1,2026-02-02T00:00:00Z,2026-02-03T00:44:27Z,90.88,90.88,False,N,0.0,-15.98423044808201,0.0,0.0,,,360.00292914517195,-376.1647860036376,0.0,0.0,360.00292914517195,-375.1647860036376,,
2026-02-02,2,2026-02-02T00:30:00Z,2026-02-03T01:14:36Z,104.75,104.75,False,P,0.0,238.778125,0.0,0.0,104.75,0.0,360.0,-121.221875,0.0,0.0,359.0,-121.221875,,
2026-02-02,3,2026-02-02T01:00:00Z,2026-02-03T01:44:31Z,100.11,100.11,False,P,0.0,160.8111111111111,0.0,0.0,100.11,0.0,360.0,-199.1888888888889,0.0,0.0,359.0,-199.1888888888889,,
2026-02-02,4,2026-02-02T01:30:00Z,2026-02-03T02:14:41Z,94.17,94.17,False,P,0.0,82.69504416666666,0.0,0.0,94.17,0.0,360.0000926388889,-277.30495583333334,0.0,0.0,359.0000926388889,-277.30495583333334,,
2026-02-02,5,2026-02-02T02:00:00Z,2026-02-03T02:44:24Z,96.25,96.25,False,P,0.0,234.72708777777777,0.0,0.0,96.25,0.0,360.0,-125.31457888888889,0.0,0.0,359.0,-125.31457888888889,,
2026-02-02,6,2026-02-02T02:30:00Z,2026-02-03T03:14:44Z,109.5,109.5,False,P,0.0,325.27026121031747,0.0,0.0,109.5,1.0,364.4446659722222,-39.15796121947497,0.0,0.0,363.4446659722222,-39.15796121947497,,
2026-02-02,7,2026-02-02T03:00:00Z,2026-02-03T03:44:26Z,109.6,109.6,False,P,0.0,408.08257592592594,0.0,0.0,109.6,1.0,443.34090925925926,-35.34813723905724,0.0,0.0,442.34090925925926,-35.34813723905724,,
2026-02-02,8,2026-02-02T03:30:00Z,2026-02-03T04:14:25Z,109.5,109.5,False,P,0.0,158.10299694444444,0.0,0.0,109.5,1.0,374.6665683333333,-216.558235,0.0,0.0,373.6665683333333,-216.558235,,
2026-02-02,9,2026-02-02T04:00:00Z,2026-02-03T04:44:31Z,96.06,96.06,False,P,0.0,117.28333333333333,0.0,0.0,96.06,0.0,360.0,-242.725,0.0,0.0,359.0,-242.725,,
2026-02-02,10,2026-02-02T04:30:00Z,2026-02-03T05:14:31Z,120.0,120.0,False,P,0.0,161.71295789554532,0.0,0.0,120.0,1.0,486.47422122887866,-324.7112633333333,0.0,0.0,485.47422122887866,-324.7112633333333,,
2026-02-02,11,2026-02-02T05:00:00Z,2026-02-03T05:44:30Z,120.0,120.0,False,P,0.0,422.27239261968765,0.0,0.0,120.0,1.0,687.9354903974654,-265.5287631111111,0.0,0.0,686.9354903974654,-265.5287631111111,,
2026-02-02,12,2026-02-02T05:30:00Z,2026-02-03T06:14:26Z,139.8,139.8,False,P,0.0,454.96570559139786,0.0,0.0,,,779.5065302897771,-324.43207666666666,0.0,0.0,778.5065302897771,-324.43207666666666,,
2026-02-02,13,2026-02-02T06:00:00Z,2026-02-03T06:44:47Z,138.85,138.85,False,P,0.0,439.19981110425687,0.0,0.0,,,891.7793529331511,-452.57694403463205,0.0,0.0,890.7793529331511,-452.57694403463205,,
2026-02-02,14,2026-02-02T06:30:00Z,2026-02-03T07:15:11Z,123.0,123.0,False,P,0.0,211.4858129761905,0.0,0.0,,,801.1217573809524,-589.1358935119048,0.0,0.0,800.1217573809524,-589.1358935119048,,
2026-02-02,15,2026-02-02T07:00:00Z,2026-02-03T07:44:28Z,118.57,118.57,False,P,0.0,43.005121558546065,0.0,0.0,,,824.3758404283167,-814.5412248931624,0.0,33.203,823.3758404283167,-814.5412248931624,,33.203
2026-02-02,16,2026-02-02T07:30:00Z,2026-02-03T08:14:34Z,119.99,119.99,False,P,0.0,141.25091833333335,0.0,0.0,,,836.9839633333333,-769.3889631944445,0.0,74.0,835.9839633333333,-769.3889631944445,,74.0
