time,temperature_c,windspeed_ms,solar_radiation_wm2,asset,region
2026-04-06T00:00,2.9,22.6,0.0,Battery_1,North Scotland
2026-04-06T01:00,2.6,20.9,0.0,Battery_1,North Scotland
2026-04-06T02:00,2.5,21.5,0.0,Battery_1,North Scotland
2026-04-06T03:00,2.7,22.1,0.0,Battery_1,North Scotland
2026-04-06T04:00,2.7,20.6,0.0,Battery_1,North Scotland
2026-04-06T05:00,2.4,18.1,0.0,Battery_1,North Scotland
2026-04-06T06:00,2.2,15.1,0.0,Battery_1,North Scotland
2026-04-06T07:00,1.7,13.3,4.0,Battery_1,North Scotland
2026-04-06T08:00,2.9,12.7,79.0,Battery_1,North Scotland
2026-04-06T09:00,4.8,9.3,203.0,Battery_1,North Scotland
2026-04-06T10:00,6.5,10.2,290.0,Battery_1,North Scotland
2026-04-06T11:00,8.0,8.8,439.0,Battery_1,North Scotland
2026-04-06T12:00,9.3,9.8,547.0,Battery_1,North Scotland
2026-04-06T13:00,10.5,11.9,597.0,Battery_1,North Scotland
2026-04-06T14:00,11.2,12.3,576.0,Battery_1,North Scotland
2026-04-06T15:00,11.1,11.7,351.0,Battery_1,North Scotland
2026-04-06T16:00,10.4,8.5,246.0,Battery_1,North Scotland
2026-04-06T17:00,10.2,5.2,178.0,Battery_1,North Scotland
2026-04-06T18:00,10.7,6.9,175.0,Battery_1,North Scotland
2026-04-06T19:00,10.0,3.9,114.0,Battery_1,North Scotland
2026-04-06T20:00,8.1,7.0,38.0,Battery_1,North Scotland
2026-04-06T21:00,8.5,13.0,0.0,Battery_1,North Scotland
2026-04-06T22:00,8.2,19.3,0.0,Battery_1,North Scotland
2026-04-06T23:00,8.6,18.2,0.0,Battery_1,North Scotland
2026-04-06T00:00,3.0,11.0,0.0,Battery_2,North England
2026-04-06T01:00,2.2,9.9,0.0,Battery_2,North England
2026-04-06T02:00,1.7,9.4,0.0,Battery_2,North England
2026-04-06T03:00,1.5,9.9,0.0,Battery_2,North England
2026-04-06T04:00,1.4,8.6,0.0,Battery_2,North England
2026-04-06T05:00,1.9,7.6,0.0,Battery_2,North England
2026-04-06T06:00,2.2,7.4,0.0,Battery_2,North England
2026-04-06T07:00,2.8,8.9,5.0,Battery_2,North England
2026-04-06T08:00,4.1,10.1,40.0,Battery_2,North England
2026-04-06T09:00,5.8,8.8,171.0,Battery_2,North England
2026-04-06T10:00,7.7,11.5,372.0,Battery_2,North England
2026-04-06T11:00,9.0,12.4,514.0,Battery_2,North England
2026-04-06T12:00,10.2,15.6,568.0,Battery_2,North England
2026-04-06T13:00,11.9,15.6,568.0,Battery_2,North England
2026-04-06T14:00,12.4,15.6,607.0,Battery_2,North England
2026-04-06T15:00,12.9,13.5,559.0,Battery_2,North England
2026-04-06T16:00,13.1,13.0,511.0,Battery_2,North England
2026-04-06T17:00,12.9,14.4,380.0,Battery_2,North England
2026-04-06T18:00,12.1,12.8,240.0,Battery_2,North England
2026-04-06T19:00,11.2,10.8,118.0,Battery_2,North England
2026-04-06T20:00,9.6,9.8,22.0,Battery_2,North England
2026-04-06T21:00,8.8,11.0,0.0,Battery_2,North England
2026-04-06T22:00,8.1,10.3,0.0,Battery_2,North England
2026-04-06T23:00,7.2,9.4,0.0,Battery_2,North England
2026-04-06T00:00,4.7,8.6,0.0,Battery_3,South England
2026-04-06T01:00,3.6,5.8,0.0,Battery_3,South England
2026-04-06T02:00,2.5,5.3,0.0,Battery_3,South England
2026-04-06T03:00,1.9,5.0,0.0,Battery_3,South England
2026-04-06T04:00,1.9,1.4,0.0,Battery_3,South England
2026-04-06T05:00,1.5,0.6,0.0,Battery_3,South England
2026-04-06T06:00,1.2,2.0,0.0,Battery_3,South England
2026-04-06T07:00,1.5,3.3,6.0,Battery_3,South England
2026-04-06T08:00,2.8,4.9,90.0,Battery_3,South England
2026-04-06T09:00,5.2,4.9,215.0,Battery_3,South England
2026-04-06T10:00,7.9,8.4,408.0,Battery_3,South England
2026-04-06T11:00,10.1,11.6,547.0,Battery_3,South England
2026-04-06T12:00,11.6,13.5,647.0,Battery_3,South England
2026-04-06T13:00,13.2,12.9,700.0,Battery_3,South England
2026-04-06T14:00,13.8,13.0,703.0,Battery_3,South England
2026-04-06T15:00,14.1,13.1,648.0,Battery_3,South England
2026-04-06T16:00,14.0,13.4,565.0,Battery_3,South England
2026-04-06T17:00,13.6,13.8,450.0,Battery_3,South England
2026-04-06T18:00,12.8,13.0,297.0,Battery_3,South England
2026-04-06T19:00,11.9,11.1,138.0,Battery_3,South England
2026-04-06T20:00,9.9,9.5,19.0,Battery_3,South England
2026-04-06T21:00,8.6,8.7,0.0,Battery_3,South England
2026-04-06T22:00,7.8,9.6,0.0,Battery_3,South England
2026-04-06T23:00,7.2,10.4,0.0,Battery_3,South England
2026-04-06T00:00,-0.3,15.4,0.0,Battery_4,South Scotland
2026-04-06T01:00,-0.3,14.0,0.0,Battery_4,South Scotland
2026-04-06T02:00,-0.2,12.9,0.0,Battery_4,South Scotland
2026-04-06T03:00,-0.4,10.9,0.0,Battery_4,South Scotland
2026-04-06T04:00,-0.4,10.4,0.0,Battery_4,South Scotland
2026-04-06T05:00,-0.7,10.6,0.0,Battery_4,South Scotland
2026-04-06T06:00,-0.5,12.5,0.0,Battery_4,South Scotland
2026-04-06T07:00,0.8,14.1,4.0,Battery_4,South Scotland
2026-04-06T08:00,1.5,15.7,68.0,Battery_4,South Scotland
2026-04-06T09:00,2.8,16.3,183.0,Battery_4,South Scotland
2026-04-06T10:00,4.0,21.8,265.0,Battery_4,South Scotland
2026-04-06T11:00,4.1,21.6,162.0,Battery_4,South Scotland
2026-04-06T12:00,6.2,26.4,309.0,Battery_4,South Scotland
2026-04-06T13:00,6.7,23.4,346.0,Battery_4,South Scotland
2026-04-06T14:00,7.6,23.2,378.0,Battery_4,South Scotland
2026-04-06T15:00,7.9,23.0,527.0,Battery_4,South Scotland
2026-04-06T16:00,8.4,23.1,542.0,Battery_4,South Scotland
2026-04-06T17:00,8.2,21.8,392.0,Battery_4,South Scotland
2026-04-06T18:00,7.5,19.0,197.0,Battery_4,South Scotland
2026-04-06T19:00,6.8,15.3,145.0,Battery_4,South Scotland
2026-04-06T20:00,5.4,12.0,35.0,Battery_4,South Scotland
2026-04-06T21:00,5.8,13.7,0.0,Battery_4,South Scotland
2026-04-06T22:00,5.3,15.9,0.0,Battery_4,South Scotland
2026-04-06T23:00,5.6,17.8,0.0,Battery_4,South Scotland
2026-04-06T00:00,4.7,8.6,0.0,Battery_5,South England
2026-04-06T01:00,3.6,5.8,0.0,Battery_5,South England
2026-04-06T02:00,2.5,5.3,0.0,Battery_5,South England
2026-04-06T03:00,1.9,5.0,0.0,Battery_5,South England
2026-04-06T04:00,1.9,1.4,0.0,Battery_5,South England
2026-04-06T05:00,1.5,0.6,0.0,Battery_5,South England
2026-04-06T06:00,1.2,2.0,0.0,Battery_5,South England
2026-04-06T07:00,1.5,3.3,6.0,Battery_5,South England
2026-04-06T08:00,2.8,4.9,90.0,Battery_5,South England
2026-04-06T09:00,5.2,4.9,215.0,Battery_5,South England
2026-04-06T10:00,7.9,8.4,408.0,Battery_5,South England
2026-04-06T11:00,10.1,11.6,547.0,Battery_5,South England
2026-04-06T12:00,11.6,13.5,647.0,Battery_5,South England
2026-04-06T13:00,13.2,12.9,700.0,Battery_5,South England
2026-04-06T14:00,13.8,13.0,703.0,Battery_5,South England
2026-04-06T15:00,14.1,13.1,648.0,Battery_5,South England
2026-04-06T16:00,14.0,13.4,565.0,Battery_5,South England
2026-04-06T17:00,13.6,13.8,450.0,Battery_5,South England
2026-04-06T18:00,12.8,13.0,297.0,Battery_5,South England
2026-04-06T19:00,11.9,11.1,138.0,Battery_5,South England
2026-04-06T20:00,9.9,9.5,19.0,Battery_5,South England
2026-04-06T21:00,8.6,8.7,0.0,Battery_5,South England
2026-04-06T22:00,7.8,9.6,0.0,Battery_5,South England
2026-04-06T23:00,7.2,10.4,0.0,Battery_5,South England
