settlementDate,settlementPeriod,solar_mw,wind_offshore_mw,wind_onshore_mw,wind_total_mw,renewable_total_mw
2024-08-04,3,0.0,2262.529,1650.039,3912.568,3912.568
2024-08-04,4,0.0,2262.529,1650.039,3912.568,3912.568
2024-08-04,5,0.0,2157.914,1668.767,3826.681000000001,3826.681000000001
2024-08-04,6,0.0,2157.914,1668.767,3826.681000000001,3826.681000000001
2024-08-04,7,0.0,2012.686,1625.955,3638.641,3638.641
2024-08-04,8,0.0,2012.686,1625.955,3638.641,3638.641
2024-08-04,9,0.0,1742.385,1557.992,3300.377,3300.377
2024-08-04,10,0.0,1742.385,1557.992,3300.377,3300.377
2024-08-04,11,0.0,1447.365,1529.022,2976.3869999999997,2976.3869999999997
2024-08-04,12,21.0,1447.365,1529.022,2976.3869999999997,2997.3869999999997
2024-08-04,13,136.0,1163.549,1551.931,2715.48,2851.48
2024-08-04,14,332.0,1163.549,1551.931,2715.48,3047.48
2024-08-04,15,601.0,991.727,1565.565,2557.292,3158.292
2024-08-04,16,963.0,991.727,1565.565,2557.292,3520.292
2024-08-04,17,1428.0,967.161,1783.935,2751.096,4179.096
2024-08-04,18,1954.0,967.161,1783.935,2751.096,4705.096
2024-08-04,19,2485.0,1042.61,2322.23,3364.84,5849.84
2024-08-04,20,2979.0,1042.61,2322.23,3364.84,6343.84
2024-08-04,21,3410.0,1274.413,3084.122,4358.535,7768.535
2024-08-04,22,3815.0,1274.413,3084.122,4358.535,8173.535
2024-08-04,23,4231.0,1658.125,3998.89,5657.014999999999,9888.015
2024-08-04,24,4626.0,1658.125,3998.89,5657.014999999999,10283.015
2024-08-04,25,4955.0,2062.252,4835.532,6897.784,11852.784
2024-08-04,26,5201.0,2062.252,4835.532,6897.784,12098.784
2024-08-04,27,5355.0,2384.466,5647.226,8031.691999999999,13386.692
2024-08-04,28,5426.0,2384.466,5647.226,8031.691999999999,13457.692
2024-08-04,29,5420.0,2722.522,6240.256,8962.778,14382.778
2024-08-04,30,5330.0,2722.522,6240.256,8962.778,14292.778
2024-08-04,31,5138.0,3141.7,6760.327,9902.027,15040.027
2024-08-04,32,4824.0,3141.7,6760.327,9902.027,14726.027
2024-08-04,33,4375.0,3733.424,7106.744,10840.168,15215.168
2024-08-04,34,3815.0,3733.424,7106.744,10840.168,14655.168
2024-08-04,35,3186.0,4336.015,7245.097,11581.112,14767.112
2024-08-04,36,2563.0,4336.015,7245.097,11581.112,14144.112
2024-08-04,37,2006.0,4830.466,7305.38,12135.846,14141.846
2024-08-04,38,1470.0,4830.466,7305.38,12135.846,13605.846
2024-08-04,39,918.0,5317.017,7302.108,12619.125,13537.125
2024-08-04,40,444.0,5317.017,7302.108,12619.125,13063.125
2024-08-04,41,142.0,5657.387,7290.201,12947.588,13089.588
2024-08-04,42,0.0,5657.387,7290.201,12947.588,12947.588
2024-08-04,43,0.0,6086.284,7366.552,13452.836,13452.836
2024-08-04,44,0.0,6086.284,7366.552,13452.836,13452.836
2024-08-04,45,0.0,6351.886,7467.7,13819.586,13819.586
2024-08-04,46,0.0,6351.886,7467.7,13819.586,13819.586
2024-08-04,47,0.0,6705.066,7537.861,14242.927,14242.927
2024-08-04,48,0.0,6705.066,7537.861,14242.927,14242.927
